Date,OPP,Result,CMP,ATT,YDS,CMP%,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG,TD2,LNG2
2021-09-04,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,0.0,0.0
2021-09-11,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.2,7.0,33.0,4.7,0.0,14.0
2021-09-25,1,1,1.0,1.0,24.0,100.0,1.0,0.0,24.0,0.0,631.6,98.3,2.0,5.0,2.5,0.0,3.0
2021-11-13,1,1,2.0,5.0,17.0,40.0,0.0,0.0,9.0,1.0,68.6,40.6,5.0,26.0,5.2,0.0,15.0
2022-09-03,1,1,8,10.0,76.0,80.0,1.0,1.0,18.0,0.0,156.8,62.7,2.0,10.0,5.0,0.0,7.0
2022-09-17,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1,2.0,42.0,21.0,0.0,25.0
2022-09-24,1,1,4,6.0,10.0,66.7,0.0,0.0,5.0,0.0,80.7,71.8,2.0,20.0,10.0,0.0,28.0
2022-10-01,0,1,4,9.0,65.0,44.4,1.0,0.0,23.0,0.0,141.8,98.7,6.0,91.0,15.2,1.0,77.0
2022-10-08,1,1,12,19.0,111.0,63.2,3.0,1.0,35.0,4.0,153.8,60.8,17.0,81.0,4.8,0.0,33.0
2022-10-22,1,1,1,2.0,12.0,50.0,0.0,0.0,12.0,0.0,100.4,96.0,0.0,0.0,0.0,0.0,0.0
2022-11-19,1,1,2,4.0,23.0,50.0,0.0,1.0,12.0,0.0,48.3,36.2,2.0,19.0,9.5,0.0,16.0
2023-09-02,1,1,13,18.0,194.0,72.2,3.0,0.0,48.0,2.0,217.8,94.4,7.0,48.0,6.9,2.0,25.0
2023-09-09,1,0,14,27.0,255.0,51.9,2.0,2.0,49.0,5.0,140.8,61.0,15.0,44.0,2.9,0.0,20.0
2023-09-23,1,1,17,21.0,225.0,81.0,1.0,1.0,54.0,4.0,177.1,67.7,16.0,28.0,1.8,0.0,20.0
2023-09-30,0,1,10,12.0,164.0,83.3,0.0,0.0,27.0,4.0,198.1,97.7,11.0,69.0,6.3,2.0,53.0
2023-10-07,0,1,21,33.0,321.0,63.6,3.0,1.0,52.0,6.0,169.3,68.5,8.0,-31.0,-3.9,0.0,12.0
2023-10-14,1,1,10,21.0,238.0,47.6,2.0,0.0,79.0,5.0,174.2,64.5,11.0,-19.0,-1.7,1.0,7.0
2023-10-21,1,1,14,21.0,220.0,66.7,2.0,1.0,46.0,4.0,176.6,68.9,9.0,3.0,0.3,0.0,15.0
2023-11-04,1,1,15,23.0,219.0,65.2,0.0,0.0,42.0,2.0,145.2,96.3,20.0,155.0,7.8,4.0,23.0
2023-11-11,0,1,15,22.0,234.0,68.2,3.0,1.0,40.0,0.0,193.4,94.7,8.0,36.0,4.5,3.0,16.0
2023-11-18,1,1,13,16.0,197.0,81.3,3.0,0.0,56.0,1.0,246.6,88.3,3.0,-1.0,-0.3,0.0,5.0
2023-11-25,0,1,16,24.0,259.0,66.7,2.0,0.0,68.0,1.0,184.8,88.9,18.0,107.0,5.9,0.0,37.0
2023-12-02,1,1,13,23.0,192.0,56.5,2.0,0.0,28.0,4.0,155.3,75.8,14.0,29.0,2.1,0.0,30.0
2024-08-31,1,1,7,9.0,200.0,77.8,3.0,0.0,84.0,1.0,374.4,99.1,10.0,79.0,7.9,2.0,40.0
2024-09-07,1,1,16,26.0,194.0,61.5,2.0,0.0,43.0,3.0,149.6,38.7,12.0,2.0,0.2,2.0,14.0
2024-09-14,0,1,12,17.0,196.0,70.6,3.0,0.0,47.0,1.0,225.7,89.2,14.0,75.0,5.4,2.0,26.0
2024-09-28,1,1,27,33.0,374.0,81.8,2.0,1.0,75.0,0.0,191.0,98.5,16.0,117.0,7.3,2.0,36.0
2024-10-05,0,0,18,24.0,310.0,75.0,1.0,1.0,58.0,2.0,188.9,77.9,7.0,10.0,1.4,1.0,14.0
