Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
2012-10-07,1,0,5,9.0,111.0,55.6,12.3,1,2,77.0,1.0,97.2,11.8,0.0,0,0.0,0.0,0.0
2012-12-09,1,1,2,2.0,26.0,100.0,13.0,1,0,15.0,0.0,158.3,99.9,0.0,0,0.0,0.0,0.0
2012-12-16,0,1,26,37.0,329.0,70.3,8.9,2,1,54.0,2.0,104.4,79.2,3.0,22,7.3,0.0,17.0
2013-10-27,0,0,5,9.0,48.0,55.6,5.3,0,2,17.0,0.0,47.9,7.4,1.0,1,1.0,0.0,1.0
2013-12-08,1,0,7,16.0,59.0,43.8,3.7,0,0,15.0,1.0,39.6,10.6,0.0,0,0.0,0.0,0.0
2013-12-15,0,0,29,45.0,381.0,64.4,8.5,3,2,62.0,1.0,60.4,70.6,0.0,0,0.0,0.0,0.0
2013-12-22,1,0,21,36.0,197.0,58.3,5.5,1,1,28.0,0.0,47.9,40.7,2.0,10,5.0,0.0,6.0
2013-12-29,0,0,19,49.0,169.0,38.8,3.4,0,2,21.0,3.0,39.6,11.4,1.0,3,3.0,0.0,3.0
2014-09-14,1,1,22,33.0,250.0,66.7,7.6,2,0,31.0,2.0,109.4,90.3,1.0,-1,-1.0,0.0,-1.0
2014-09-21,0,0,30,48.0,427.0,62.5,8.9,3,1,81.0,0.0,103.4,81.6,3.0,5,1.7,0.0,3.0
2014-09-25,1,0,19,33.0,257.0,57.6,7.8,1,4,36.0,2.0,53.0,10.0,1.0,12,12.0,0.0,12.0
2014-10-06,1,0,21,36.0,283.0,58.3,7.9,2,0,60.0,1.0,102.0,49.1,2.0,4,2.0,0.0,4.0
2014-10-12,0,0,24,38.0,354.0,63.2,9.3,2,3,64.0,2.0,78.2,51.1,0.0,0,0.0,0.0,0.0
2014-10-19,1,1,10,16.0,139.0,62.5,8.7,0,1,50.0,1.0,64.3,6.1,0.0,0,0.0,0.0,0.0
2015-01-03,0,1,12,15.0,176.0,80.0,11.7,3,0,44.0,0.0,155.1,99.4,0.0,0,0.0,0.0,0.0
2015-09-13,1,0,21,31.0,196.0,67.7,6.3,1,2,25.0,1.0,68.8,34.7,2.0,-1,-0.5,0.0,0.0
2015-09-20,1,1,23,27.0,203.0,85.2,7.5,1,0,35.0,2.0,110.3,80.0,0.0,0,0.0,0.0,0.0
2015-09-24,0,0,30,49.0,316.0,61.2,6.4,1,2,26.0,1.0,69.8,23.6,0.0,0,0.0,0.0,0.0
2015-10-04,1,1,31,46.0,290.0,67.4,6.3,1,0,43.0,1.0,91.8,85.2,1.0,1,1.0,1.0,1.0
2015-10-11,0,0,21,32.0,219.0,65.6,6.8,1,2,26.0,1.0,69.7,35.2,1.0,1,1.0,0.0,1.0
2015-10-18,0,0,25,43.0,196.0,58.1,4.6,1,2,20.0,1.0,57.9,43.5,1.0,1,1.0,0.0,1.0
2015-10-25,1,1,33,40.0,317.0,82.5,7.9,3,0,38.0,1.0,124.7,67.6,3.0,15,5.0,1.0,8.0
2015-11-08,0,0,22,40.0,217.0,55.0,5.4,1,1,36.0,1.0,68.4,40.7,0.0,0,0.0,0.0,0.0
2015-11-15,1,1,20,25.0,324.0,80.0,13.0,4,0,78.0,3.0,158.3,56.0,0.0,0,0.0,0.0,0.0
2015-11-22,0,0,22,30.0,207.0,73.3,6.9,1,1,56.0,5.0,89.2,61.1,1.0,4,4.0,0.0,4.0
2015-11-29,1,1,20,29.0,302.0,69.0,10.4,1,0,63.0,0.0,114.4,78.9,4.0,1,0.3,1.0,1.0
2015-12-07,1,0,22,31.0,219.0,71.0,7.1,1,0,28.0,3.0,101.4,59.5,1.0,6,6.0,0.0,6.0
2015-12-13,0,1,24,31.0,300.0,77.4,9.7,1,1,32.0,3.0,104.2,76.7,4.0,13,3.3,1.0,9.0
2015-12-20,1,1,22,28.0,319.0,78.6,11.4,4,0,77.0,1.0,153.7,98.0,3.0,11,3.7,1.0,13.0
2015-12-26,0,1,31,46.0,365.0,67.4,7.9,4,0,28.0,2.0,120.3,79.1,5.0,-4,-0.8,0.0,0.0
2016-01-01,1,0,22,35.0,287.0,62.9,8.2,1,2,49.0,4.0,74.3,18.3,0.0,0,0.0,0.0,0.0
2016-09-12,1,0,30,43.0,329.0,69.8,7.7,0,2,33.0,0.0,72.7,43.3,1.0,8,8.0,0.0,8.0
2016-09-18,1,0,28,46.0,364.0,60.9,7.9,1,1,57.0,2.0,84.0,54.6,2.0,20,10.0,0.0,10.0
2016-09-25,0,1,21,35.0,296.0,60.0,8.5,2,0,55.0,2.0,106.4,74.8,3.0,-5,-1.7,0.0,-1.0
2016-10-02,1,1,21,27.0,183.0,77.8,6.8,3,1,26.0,3.0,116.5,48.4,0.0,0,0.0,0.0,0.0
2016-10-09,0,1,29,41.0,260.0,70.7,6.3,1,1,27.0,1.0,85.4,43.0,1.0,-1,-1.0,0.0,-1.0
2016-10-16,1,1,18,34.0,263.0,52.9,7.7,2,1,37.0,0.0,85.8,47.3,2.0,8,4.0,0.0,9.0
2016-10-23,0,0,30,39.0,301.0,76.9,7.7,1,0,27.0,2.0,106.9,61.8,3.0,15,5.0,1.0,19.0
2016-10-30,1,0,38,56.0,458.0,67.9,8.2,2,1,44.0,1.0,97.2,74.8,3.0,-1,-0.3,0.0,3.0
2016-11-13,1,1,22,33.0,262.0,66.7,7.9,2,0,38.0,1.0,110.9,86.9,1.0,-1,-1.0,0.0,-1.0
2016-11-20,1,1,21,30.0,375.0,70.0,12.5,3,0,70.0,2.0,145.8,92.8,4.0,4,1.0,0.0,4.0
2016-11-24,0,0,41,53.0,449.0,77.4,8.5,3,0,67.0,0.0,120.7,87.2,1.0,2,2.0,0.0,2.0
2016-12-04,0,0,21,37.0,271.0,56.8,7.3,1,1,59.0,2.0,77.6,67.7,2.0,0,0.0,1.0,1.0
2016-12-11,0,1,14,21.0,234.0,66.7,11.1,2,1,80.0,2.0,116.0,75.2,4.0,6,1.5,0.0,6.0
2016-12-19,1,0,32,47.0,315.0,68.1,6.7,0,1,23.0,1.0,77.9,48.4,2.0,11,5.5,0.0,12.0
2016-12-24,0,1,18,29.0,270.0,62.1,9.3,1,0,57.0,0.0,104.1,94.3,5.0,30,6.0,2.0,13.0
2017-09-10,1,0,23,40.0,240.0,57.5,6.0,1,1,34.0,4.0,72.9,43.8,4.0,30,7.5,0.0,10.0
2017-09-17,0,1,18,27.0,179.0,66.7,6.6,1,0,23.0,2.0,97.6,41.7,3.0,7,2.3,0.0,7.0
2017-09-24,1,1,25,30.0,365.0,83.3,12.2,3,0,74.0,1.0,150.7,85.2,1.0,2,2.0,0.0,2.0
2017-10-02,0,0,14,24.0,220.0,58.3,9.2,2,0,69.0,0.0,116.7,90.6,7.0,38,5.4,0.0,15.0
2017-10-15,1,1,25,37.0,330.0,67.6,8.9,2,1,51.0,1.0,102.3,84.7,4.0,26,6.5,1.0,18.0
2017-10-23,0,0,30,40.0,303.0,75.0,7.6,3,1,32.0,4.0,110.7,81.0,3.0,18,6.0,0.0,11.0
2017-10-29,1,0,26,39.0,263.0,66.7,6.7,1,1,41.0,4.0,83.6,47.5,1.0,0,0.0,0.0,0.0
2017-11-05,0,1,21,31.0,247.0,67.7,8.0,0,0,38.0,6.0,91.7,35.2,3.0,4,1.3,0.0,4.0
2017-11-12,1,0,26,45.0,327.0,57.8,7.3,1,1,36.0,1.0,78.7,78.7,4.0,5,1.3,2.0,3.0
2017-11-19,0,0,22,32.0,322.0,68.8,10.1,3,0,40.0,2.0,132.6,86.7,3.0,11,3.7,0.0,6.0
2017-11-23,1,1,19,31.0,242.0,61.3,7.8,2,1,38.0,6.0,93.8,32.9,3.0,4,1.3,0.0,7.0
2017-11-30,0,0,26,37.0,251.0,70.3,6.8,2,2,33.0,4.0,84.4,16.4,3.0,6,2.0,0.0,6.0
2017-12-10,0,0,15,27.0,151.0,55.6,5.6,1,1,28.0,2.0,68.6,43.5,2.0,8,4.0,0.0,5.0
2017-12-17,1,1,18,26.0,196.0,69.2,7.5,2,0,36.0,1.0,116.8,58.6,2.0,0,0.0,0.0,1.0
2017-12-24,1,1,19,37.0,299.0,51.4,8.1,3,1,48.0,0.0,94.3,64.6,5.0,8,1.6,0.0,7.0
2017-12-31,0,0,20,37.0,158.0,54.1,4.3,0,3,20.0,3.0,31.1,8.5,1.0,12,12.0,1.0,12.0
2018-09-09,1,1,20,36.0,244.0,55.6,6.8,2,0,34.0,3.0,95.1,49.3,4.0,26,6.5,0.0,13.0
2018-09-16,0,0,35,48.0,425.0,72.9,8.9,4,1,75.0,2.0,118.8,84.3,2.0,5,2.5,0.0,4.0
2018-09-23,1,0,40,55.0,296.0,72.7,5.4,1,1,19.0,4.0,83.6,11.4,2.0,2,1.0,0.0,2.0
2018-09-27,0,0,36,50.0,422.0,72.0,8.4,3,0,45.0,4.0,117.3,85.0,4.0,28,7.0,0.0,19.0
2018-10-07,0,1,30,37.0,301.0,81.1,8.1,1,0,68.0,1.0,109.6,74.5,5.0,1,0.2,0.0,3.0
2018-10-14,1,1,24,34.0,233.0,70.6,6.9,1,1,17.0,4.0,87.0,53.9,4.0,14,3.5,1.0,7.0
2018-10-21,0,1,25,40.0,241.0,62.5,6.0,2,0,34.0,1.0,95.9,32.5,2.0,-1,-0.5,0.0,0.0
