Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
2022-01-08,1,1,2,3.0,20,10.0,0,11,1.0,4,4.0,4,0,0,0,0.0,0.0
2022-09-11,0,0,2,7.0,14,7.0,0,8,8.0,52,6.5,27,1,1,1,0.0,0.0
2022-09-18,1,1,5,6.0,44,8.8,0,15,4.0,53,13.3,51,0,1,0,0.0,0.0
2022-09-25,0,0,5,8.0,73,14.6,0,32,5.0,6,1.2,3,0,0,0,0.0,0.0
2022-10-03,1,1,6,7.0,115,19.2,1,57,2.0,2,1.0,1,0,0,0,0.0,0.0
2022-10-09,0,1,2,9.0,20,10.0,1,16,2.0,12,6.0,9,0,0,0,0.0,0.0
2022-10-16,0,0,7,10.0,79,11.3,0,27,2.0,11,5.5,7,0,0,0,0.0,0.0
2022-10-23,1,0,5,7.0,42,8.4,0,22,1.0,2,2.0,2,0,0,0,0.0,0.0
2022-11-13,1,1,2,6.0,24,12.0,0,16,4.0,27,6.8,15,0,0,0,0.0,0.0
2022-11-21,1,1,7,9.0,57,8.1,0,19,3.0,37,12.3,39,1,0,0,0.0,0.0
2022-11-27,1,1,3,7.0,43,14.3,0,20,2.0,0,0.0,3,0,0,0,0.0,0.0
2022-12-04,1,1,6,10.0,58,9.7,0,12,4.0,5,1.3,9,0,0,0,0.0,0.0
2022-12-11,1,1,4,5.0,43,10.8,0,18,4.0,21,5.3,13,1,1,1,0.0,0.0
2023-01-07,1,0,2,2.0,21,10.5,0,15,1.0,11,11.0,11,0,0,0,0.0,0.0
2023-09-10,0,1,5,7.0,55,11.0,0,22,2.0,8,4.0,5,0,0,0,0.0,0.0
2023-09-17,0,1,6,9.0,63,10.5,0,23,5.0,38,7.6,17,1,1,0,0.0,0.0
2023-09-21,1,1,6,12.0,129,21.5,1,40,1.0,2,2.0,2,0,0,0,0.0,0.0
2023-10-01,1,1,0,0.0,0,0.0,0,0,3.0,6,2.0,5,0,0,0,0.0,0.0
2023-10-08,1,1,3,3.0,55,18.3,0,42,5.0,30,6.0,11,0,0,0,0.0,0.0
2023-10-15,0,0,0,1.0,0,0.0,0,0,2.0,11,5.5,8,0,0,0,0.0,0.0
2023-11-12,0,1,4,4.0,30,7.5,0,9,3.0,29,9.7,23,1,0,0,0.0,0.0
2023-11-19,1,1,3,4.0,63,21.0,0,40,1.0,-1,-1.0,-1,0,0,0,0.0,0.0
2023-11-23,0,1,7,9.0,79,11.3,0,24,4.0,15,3.8,15,1,0,0,0.0,0.0
2023-12-03,0,1,4,4.0,116,29.0,2,48,3.0,22,7.3,14,1,0,0,0.0,0.0
2023-12-10,1,1,7,9.0,149,21.3,1,54,1.0,1,1.0,1,1,0,0,0.0,0.0
2023-12-17,0,1,4,7.0,48,12.0,2,19,1.0,11,11.0,11,0,0,0,0.0,0.0
2023-12-25,1,0,4,12.0,47,11.8,0,20,2.0,7,3.5,6,0,0,0,0.0,0.0
2023-12-31,0,1,5,6.0,37,7.4,1,16,3.0,35,11.7,17,0,0,0,0.0,0.0
2024-09-09,1,1,5,9.0,54,10.8,0,25,8.0,23,2.9,6,1,0,0,0.0,0.0
2024-09-15,0,0,8,10.0,110,13.8,0,28,2.0,-10,-5.0,-1,0,0,0,0.0,0.0
2024-09-29,1,1,3,5.0,58,19.3,0,53,2.0,14,7.0,8,0,0,0,0.0,0.0
2024-10-06,1,0,1,3.0,11,11.0,0,11,3.0,9,3.0,7,0,0,0,0.0,0.0
