Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
2018-12-30,1,1,2,2.0,66,33.0,1,37,1.0,3,3.0,3,0,0,0,0,0
2019-09-08,1,1,1,2.0,44,44.0,1,44,0.0,0,0.0,0,0,0,0,0,0
2019-09-15,0,1,10,12.0,79,7.9,0,22,0.0,0,0.0,0,0,0,0,0,0
2019-09-22,1,0,11,14.0,154,14.0,1,40,0.0,0,0.0,0,0,0,0,0,0
2019-09-29,0,1,4,4.0,51,12.8,0,28,0.0,0,0.0,0,0,0,0,0,0
2019-10-03,1,1,4,4.0,51,12.8,1,17,1.0,-8,-8.0,-8,0,0,0,0,0
2019-10-13,0,1,5,5.0,75,15.0,0,22,1.0,3,3.0,3,0,0,0,0,0
2019-10-20,1,0,5,7.0,61,12.2,1,33,1.0,-3,-3.0,-3,0,0,0,0,0
2019-10-27,0,1,6,6.0,100,16.7,0,20,0.0,0,0.0,0,0,0,0,0,0
2019-11-03,1,1,13,18.0,152,11.7,2,30,0.0,0,0.0,0,0,0,0,0,0
2019-11-11,0,1,3,4.0,26,8.7,0,13,1.0,3,3.0,3,0,0,0,,
2019-11-24,0,1,1,2.0,38,38.0,0,38,0.0,0,0.0,0,0,0,0,0,0
2019-12-02,1,1,0,3.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,,
2019-12-08,0,0,4,6.0,43,10.8,0,19,0.0,0,0.0,0,0,0,0,0,0
2019-12-15,0,1,8,9.0,120,15.0,1,44,0.0,0,0.0,0,0,0,0,0,0
2019-12-22,1,0,1,7.0,12,12.0,0,12,0.0,0,0.0,0,0,0,0,0,0
2019-12-29,1,0,6,7.0,51,8.5,1,14,0.0,0,0.0,0,0,1,0,0,0
2020-01-03,0,1,12,14.0,90,7.5,2,26,0.0,0,0.0,0,0,0,0,0,0
2020-09-13,0,1,8,8.0,92,11.5,0,20,0.0,0,0.0,0,0,0,0,0,0
2020-09-20,1,1,7,8.0,67,9.6,1,16,0.0,0,0.0,0,0,0,0,0,0
2020-09-27,1,1,9,13.0,100,11.1,3,43,0.0,0,0.0,0,0,0,0,0,0
2020-10-04,0,1,2,4.0,39,19.5,0,30,0.0,0,0.0,0,0,0,0,0,0
2020-10-11,1,1,4,5.0,44,11.0,0,17,0.0,0,0.0,0,0,0,0,0,0
2020-10-25,0,0,15,20.0,200,13.3,3,47,0.0,0,0.0,0,0,0,0,0,0
2020-11-01,1,1,4,5.0,33,8.3,0,12,0.0,0,0.0,0,0,0,0,0,0
2020-11-08,0,0,4,7.0,40,10.0,0,12,0.0,0,0.0,0,0,0,0,0,0
2020-11-15,0,0,5,9.0,66,13.2,0,39,0.0,0,0.0,0,0,0,0,0,0
2020-11-19,1,1,9,9.0,67,7.4,1,11,0.0,0,0.0,0,0,0,0,0,0
2020-11-30,0,1,3,4.0,23,7.7,0,18,0.0,0,0.0,0,0,0,0,,
2020-12-06,1,0,6,9.0,63,10.5,0,24,0.0,0,0.0,0,0,1,0,0,0
2020-12-13,1,1,5,5.0,52,10.4,0,17,0.0,0,0.0,0,0,0,0,0,0
2020-12-20,0,1,4,7.0,34,8.5,0,15,0.0,0,0.0,0,0,0,0,0,0
2020-12-27,1,1,3,5.0,44,14.7,0,24,0.0,0,0.0,0,0,0,0,0,0
2021-01-02,1,1,3,3.0,24,8.0,1,28,1.0,7,7.0,7,0,0,0,,
2021-01-09,0,1,5,5.0,98,19.6,2,43,1.0,2,2.0,2,0,0,0,,
2021-09-12,0,1,4,5.0,100,25.0,2,69,0.0,0,0.0,0,0,0,0,,
2021-09-19,1,0,8,11.0,178,22.3,1,63,0.0,0,0.0,0,0,0,0,,
2021-09-26,0,0,4,4.0,31,7.8,0,15,0.0,0,0.0,0,0,0,0,,
2021-10-03,0,1,4,5.0,24,6.0,0,19,0.0,0,0.0,0,0,0,0,,
2021-10-07,1,0,5,10.0,57,11.4,0,25,0.0,0,0.0,0,0,0,0,0,0
2021-10-17,0,0,2,7.0,35,17.5,0,21,0.0,0,0.0,0,0,0,0,,
2021-10-25,1,0,2,3.0,12,6.0,0,7,0.0,0,0.0,0,0,0,0,,
2021-10-31,1,1,12,13.0,142,11.8,0,28,0.0,0,0.0,0,0,0,0,,
2021-11-14,0,0,2,8.0,23,11.5,0,16,0.0,0,0.0,0,0,0,0,,
2021-11-21,1,0,4,5.0,115,28.8,0,48,0.0,0,0.0,0,0,0,0,,
2021-11-29,0,0,3,5.0,96,32.0,0,55,0.0,0,0.0,0,0,0,0,,
2021-12-05,1,1,7,8.0,68,9.7,1,16,0.0,0,0.0,0,0,0,0,,
2021-12-12,0,1,5,9.0,142,28.4,1,55,0.0,0,0.0,0,0,0,0,,
2021-12-26,1,0,3,6.0,30,10.0,0,15,0.0,0,0.0,0,0,0,0,,
2022-01-01,1,1,2,2.0,15,7.5,0,8,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-01-08,1,1,4,7.0,54,13.5,1,36,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-09-12,1,1,3,4.0,28,9.3,0,17,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-09-18,0,0,9,11.0,107,11.9,0,27,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-09-25,1,0,9,11.0,76,8.4,0,20,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-10-02,0,1,6,8.0,91,15.2,0,34,0.0,0,0.0,0,0,1,1,0.0,0.0
2022-10-09,0,0,5,6.0,104,20.8,2,40,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-10-16,1,1,2,5.0,17,8.5,0,10,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-10-23,0,1,7,8.0,45,6.4,0,14,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-10-30,1,1,5,8.0,63,12.6,1,33,0.0,0,0.0,0,0,1,1,0.0,0.0
2022-11-06,0,1,5,5.0,67,13.4,1,30,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-11-13,1,0,3,5.0,42,14.0,1,21,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-11-27,1,0,3,7.0,68,22.7,1,35,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-12-04,0,1,9,12.0,128,14.2,1,36,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-12-11,1,0,5,9.0,60,12.0,1,23,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-12-15,1,0,7,9.0,68,9.7,0,19,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-01-07,0,1,2,4.0,71,35.5,1,37,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-09-10,1,0,2,4.0,10,5.0,0,5,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-09-17,0,1,8,10.0,59,7.4,2,12,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-09-24,1,1,3,7.0,34,11.3,0,16,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-02,0,1,4,6.0,54,13.5,0,23,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-15,0,0,6,8.0,94,15.7,0,36,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-22,1,1,4,5.0,38,9.5,0,15,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-29,1,1,8,9.0,81,10.1,1,17,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-05,0,0,3,8.0,32,10.7,0,18,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-12,1,1,8,10.0,92,11.5,1,20,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-19,0,0,5,7.0,51,10.2,0,13,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-23,1,0,3,5.0,30,10.0,0,11,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-30,0,0,5,8.0,47,9.4,0,17,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-12-10,0,0,6,6.0,89,14.8,0,24,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-12-18,1,1,3,9.0,21,7.0,0,12,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-12-24,0,1,8,11.0,81,10.1,0,21,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-12-31,1,0,1,5.0,10,10.0,0,10,0.0,0,0.0,0,0,0,0,0.0,0.0
2024-09-08,1,1,6,7.0,77,12.8,0,19,0.0,0,0.0,0,0,0,0,0.0,0.0
2024-09-15,0,1,2,2.0,15,7.5,0,16,0.0,0,0.0,0,0,0,0,0.0,0.0
2024-09-22,1,1,5,8.0,46,9.2,0,18,0.0,0,0.0,0,0,0,0,0.0,0.0
2024-09-30,0,0,5,9.0,61,12.2,0,29,0.0,0,0.0,0,0,0,0,0.0,0.0
2024-10-06,1,0,4,6.0,75,18.8,0,33,0.0,0,0.0,0,0,0,0,0.0,0.0
