Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
2005-01-01,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-1.0,-1.0,0.0,-1.0
2005-10-09,1,1,1,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,79.2,,0.0,0.0,0.0,0.0,0.0
2005-12-19,0,0,8,15.0,65.0,53.3,4.3,0.0,1.0,16.0,3.0,36.8,,1.0,8.0,8.0,0.0,8.0
2006-10-02,0,0,2,3.0,14.0,66.7,4.7,0.0,0.0,11.0,0.0,77.1,94.3,0.0,0.0,0.0,0.0,0.0
2006-11-19,1,0,4,12.0,32.0,33.3,2.7,0.0,0.0,16.0,3.0,42.4,3.7,2.0,11.0,5.5,0.0,6.0
2007-11-11,1,1,2,2.0,17.0,100.0,8.5,0.0,0.0,15.0,0.0,102.1,9.5,2.0,-1.0,-0.5,0.0,0.0
2007-11-29,0,0,18,26.0,201.0,69.2,7.7,1.0,0.0,43.0,3.0,104.8,79.9,5.0,30.0,6.0,0.0,13.0
2008-09-08,1,1,18,22.0,178.0,81.8,8.1,1.0,0.0,56.0,0.0,115.5,89.4,8.0,35.0,4.4,1.0,21.0
2008-09-14,0,1,24,38.0,328.0,63.2,8.6,3.0,0.0,62.0,1.0,117.0,75.9,4.0,25.0,6.3,0.0,13.0
2008-09-21,1,0,22,39.0,290.0,56.4,7.4,0.0,0.0,50.0,5.0,80.1,32.3,5.0,10.0,2.0,1.0,5.0
2008-09-28,0,0,14,27.0,165.0,51.9,6.1,2.0,3.0,48.0,3.0,55.9,34.5,2.0,8.0,4.0,0.0,7.0
2008-10-05,1,0,25,37.0,313.0,67.6,8.5,3.0,1.0,44.0,2.0,109.4,53.5,2.0,4.0,2.0,0.0,3.0
2008-10-12,0,1,21,30.0,208.0,70.0,6.9,2.0,0.0,45.0,2.0,111.5,88.5,6.0,23.0,3.8,1.0,16.0
2008-10-19,1,1,21,28.0,186.0,75.0,6.6,1.0,0.0,24.0,0.0,104.2,95.6,3.0,8.0,2.7,0.0,9.0
2008-11-02,0,0,22,41.0,314.0,53.7,7.7,1.0,1.0,52.0,4.0,76.7,36.4,2.0,11.0,5.5,0.0,6.0
2008-11-09,0,0,15,26.0,142.0,57.7,5.5,0.0,0.0,19.0,4.0,72.9,13.0,1.0,1.0,1.0,0.0,1.0
2008-11-16,1,1,23,30.0,227.0,76.7,7.6,2.0,1.0,29.0,0.0,105.8,74.1,1.0,1.0,1.0,0.0,1.0
2008-11-24,0,0,23,41.0,248.0,56.1,6.0,2.0,3.0,29.0,2.0,59.8,71.5,8.0,36.0,4.5,1.0,10.0
2008-11-30,1,0,29,45.0,298.0,64.4,6.6,3.0,1.0,46.0,2.0,96.3,87.4,5.0,26.0,5.2,0.0,16.0
2008-12-07,1,0,19,30.0,295.0,63.3,9.8,2.0,1.0,63.0,2.0,104.2,49.0,1.0,4.0,4.0,0.0,4.0
2008-12-14,0,0,20,32.0,278.0,62.5,8.7,1.0,1.0,46.0,3.0,87.8,62.8,5.0,22.0,4.4,0.0,7.0
2008-12-22,0,0,24,39.0,260.0,61.5,6.7,2.0,1.0,35.0,0.0,87.6,56.3,2.0,-6.0,-3.0,0.0,-1.0
2008-12-28,1,1,21,31.0,308.0,67.7,9.9,3.0,0.0,71.0,4.0,132.2,40.4,1.0,-1.0,-1.0,0.0,-1.0
2009-01-03,0,1,21,26.0,235.0,80.8,9.0,1.0,0.0,51.0,0.0,117.1,98.6,2.0,2.0,1.0,1.0,1.0
2009-09-13,1,1,17,28.0,184.0,60.7,6.6,1.0,0.0,50.0,4.0,92.0,29.1,3.0,7.0,2.3,0.0,9.0
2009-09-20,1,0,21,39.0,261.0,53.8,6.7,1.0,0.0,26.0,6.0,83.4,49.4,4.0,43.0,10.8,0.0,16.0
2009-09-27,0,1,13,23.0,269.0,56.5,11.7,2.0,0.0,53.0,2.0,126.9,,8.0,38.0,4.8,1.0,12.0
2009-10-05,0,0,26,37.0,384.0,70.3,10.4,2.0,1.0,62.0,8.0,110.6,47.7,2.0,16.0,8.0,0.0,11.0
2009-10-18,1,1,29,37.0,358.0,78.4,9.7,2.0,1.0,47.0,5.0,113.7,67.4,3.0,9.0,3.0,0.0,10.0
2009-10-25,0,1,15,20.0,246.0,75.0,12.3,3.0,0.0,71.0,0.0,155.4,94.9,4.0,23.0,5.8,0.0,19.0
2009-11-01,1,0,26,41.0,287.0,63.4,7.0,3.0,0.0,42.0,6.0,108.5,82.4,5.0,52.0,10.4,0.0,35.0
2009-11-08,0,0,17,35.0,266.0,48.6,7.6,2.0,3.0,74.0,6.0,57.6,51.0,3.0,26.0,8.7,1.0,12.0
2009-11-15,1,1,25,36.0,189.0,69.4,5.3,1.0,0.0,24.0,4.0,91.1,44.5,5.0,15.0,3.0,1.0,11.0
2009-11-22,1,1,32,45.0,344.0,71.1,7.6,2.0,0.0,64.0,2.0,108.0,68.9,7.0,13.0,1.9,0.0,11.0
2009-11-26,0,1,28,39.0,348.0,71.8,8.9,3.0,0.0,68.0,1.0,124.7,84.4,1.0,5.0,5.0,0.0,5.0
2009-12-07,1,1,26,40.0,263.0,65.0,6.6,3.0,2.0,29.0,1.0,87.8,75.8,4.0,30.0,7.5,0.0,23.0
2009-12-13,0,1,16,24.0,180.0,66.7,7.5,0.0,0.0,25.0,3.0,88.9,48.1,3.0,6.0,2.0,0.0,9.0
2009-12-20,0,0,26,48.0,383.0,54.2,8.0,3.0,0.0,83.0,1.0,101.3,84.0,3.0,22.0,7.3,1.0,14.0
2009-12-27,1,1,12,23.0,237.0,52.2,10.3,1.0,0.0,40.0,1.0,103.0,64.5,1.0,9.0,9.0,0.0,9.0
2010-01-02,1,1,19,28.0,229.0,67.9,8.2,1.0,1.0,46.0,2.0,89.7,16.3,7.0,21.0,3.0,0.0,7.0
2010-09-12,0,1,19,31.0,188.0,61.3,6.1,2.0,2.0,32.0,3.0,73.1,82.4,5.0,9.0,1.8,0.0,7.0
2010-09-19,1,1,19,29.0,255.0,65.5,8.8,2.0,0.0,34.0,0.0,116.3,83.5,5.0,20.0,4.0,1.0,12.0
2010-09-27,0,0,34,45.0,316.0,75.6,7.0,1.0,1.0,28.0,0.0,92.5,88.4,2.0,20.0,10.0,1.0,17.0
2010-10-03,1,1,12,17.0,181.0,70.6,10.6,3.0,2.0,48.0,2.0,105.3,80.7,3.0,20.0,6.7,0.0,16.0
2010-10-10,0,0,27,46.0,293.0,58.7,6.4,1.0,1.0,35.0,4.0,75.7,37.1,4.0,30.0,7.5,0.0,15.0
2010-10-17,1,0,18,33.0,313.0,54.5,9.5,1.0,1.0,86.0,5.0,84.5,47.0,4.0,14.0,3.5,1.0,8.0
2010-10-24,1,1,21,34.0,295.0,61.8,8.7,2.0,2.0,45.0,0.0,84.8,51.5,3.0,14.0,4.7,0.0,11.0
