Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
2022-01-01,0,1,22,35.0,284.0,62.9,8.1,2,1,42.0,0.0,95.4,69.9,2.0,-3,-1.5,0.0,-1.0
2022-01-08,1,1,15,20.0,178.0,75.0,8.9,3,0,26.0,4.0,141.2,53.7,4.0,7,1.8,0.0,13.0
2022-10-09,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-,1.0,-1,-1.0,0.0,-1.0
2022-10-23,1,0,4,9.0,66.0,44.4,7.3,0,1,22.0,0.0,30.1,25.9,1.0,1,1.0,0.0,1.0
2022-11-21,1,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,75.5,3.0,3,1.0,0.0,5.0
2022-12-04,1,1,25,37.0,210.0,67.6,5.7,2,1,19.0,3.0,88.8,58.6,4.0,-1,-0.3,0.0,2.0
2022-12-11,1,1,16,21.0,185.0,76.2,8.8,2,0,32.0,0.0,134.0,93.5,2.0,3,1.5,1.0,2.0
2022-12-15,0,1,17,26.0,217.0,65.4,8.3,2,0,54.0,1.0,117.0,66.6,4.0,-2,-0.5,0.0,1.0
2022-12-24,1,1,15,22.0,234.0,68.2,10.6,2,1,54.0,3.0,114.6,63.5,1.0,6,6.0,0.0,6.0
2023-09-10,0,1,19,29.0,220.0,65.5,7.6,2,0,23.0,3.0,111.3,93.6,3.0,20,6.7,0.0,17.0
2023-09-17,0,1,17,25.0,206.0,68.0,8.2,0,0,31.0,1.0,93.1,77.3,3.0,5,1.7,1.0,4.0
2023-09-21,1,1,25,37.0,310.0,67.6,8.4,2,0,40.0,2.0,111.3,65.2,4.0,-1,-0.3,0.0,1.0
2023-10-01,1,1,20,21.0,283.0,95.2,13.5,1,0,42.0,1.0,134.6,96.6,2.0,0,0.0,1.0,1.0
2023-10-08,1,1,17,24.0,252.0,70.8,10.5,4,0,42.0,1.0,144.4,83.7,0.0,0,0.0,0.0,0.0
2023-10-15,0,0,12,27.0,125.0,44.4,4.6,1,1,33.0,3.0,55.3,39.8,3.0,7,2.3,0.0,5.0
2023-10-23,0,0,21,30.0,272.0,70.0,9.1,1,2,35.0,1.0,81.5,71.3,5.0,19,3.8,0.0,17.0
2023-10-29,1,0,22,31.0,365.0,71.0,11.8,1,2,41.0,2.0,94.2,54.7,6.0,57,9.5,0.0,16.0
2023-11-12,0,1,19,26.0,296.0,73.1,11.4,3,0,66.0,2.0,148.9,86.5,0.0,0,0.0,0.0,0.0
2023-11-19,1,1,21,25.0,333.0,84.0,13.3,3,0,76.0,4.0,158.3,82.1,4.0,14,3.5,0.0,13.0
2023-11-23,0,1,21,30.0,209.0,70.0,7.0,1,1,28.0,1.0,86.7,58.8,3.0,1,0.3,0.0,3.0
2023-12-03,0,1,19,27.0,314.0,70.4,11.6,4,0,48.0,2.0,148.8,82.2,2.0,9,4.5,0.0,6.0
2023-12-10,1,1,19,27.0,368.0,70.4,13.6,2,1,54.0,3.0,122.1,66.2,2.0,7,3.5,0.0,8.0
2023-12-17,0,1,16,25.0,242.0,64.0,9.7,4,0,41.0,0.0,135.3,92.7,0.0,0,0.0,0.0,0.0
2023-12-25,1,0,18,32.0,255.0,56.3,8.0,0,4,58.0,2.0,42.6,7.3,1.0,2,2.0,0.0,2.0
2023-12-31,0,1,22,28.0,230.0,78.6,8.2,2,0,38.0,0.0,124.7,88.3,1.0,4,4.0,0.0,4.0
2024-09-09,1,1,19,29.0,231.0,65.5,8.0,0,0,34.0,2.0,89.9,87.1,1.0,11,11.0,0.0,11.0
2024-09-15,0,0,28,36.0,319.0,77.8,8.9,1,1,28.0,6.0,101.3,53.9,2.0,12,6.0,0.0,11.0
2024-09-22,0,0,22,30.0,292.0,73.3,9.7,3,0,34.0,1.0,137.1,86.9,10.0,41,4.1,0.0,11.0
2024-09-29,1,1,15,27.0,288.0,55.6,10.7,1,1,53.0,1.0,89.7,62.4,5.0,11,2.2,0.0,7.0
2024-10-06,1,0,19,35.0,244.0,54.3,7.0,1,2,53.0,2.0,62.1,29.4,4.0,33,8.3,0.0,12.0
