Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
2016-01-01,0,0,4,8.0,37.0,50.0,4.6,0,0,15.0,0.0,63.0,51.9,1.0,9,9.0,0.0,9.0
2016-09-11,1,0,25,45.0,227.0,55.6,5.0,0,0,21.0,0.0,69.4,57.7,2.0,12,6.0,0.0,11.0
2016-09-18,0,1,22,30.0,292.0,73.3,9.7,0,0,29.0,4.0,103.8,78.8,1.0,6,6.0,1.0,6.0
2016-09-25,1,1,19,24.0,248.0,79.2,10.3,1,0,47.0,0.0,123.6,97.3,4.0,36,9.0,1.0,17.0
2016-10-02,0,1,23,32.0,245.0,71.9,7.7,2,0,47.0,2.0,114.7,81.4,5.0,3,0.6,0.0,9.0
2016-10-09,1,1,18,24.0,227.0,75.0,9.5,1,0,31.0,1.0,117.9,81.2,7.0,4,0.6,1.0,5.0
2016-10-16,0,1,18,27.0,247.0,66.7,9.1,3,1,42.0,2.0,117.4,64.4,1.0,6,6.0,0.0,6.0
2016-10-30,1,1,19,39.0,287.0,48.7,7.4,2,1,53.0,2.0,79.8,63.8,7.0,38,5.4,1.0,16.0
2016-11-06,0,1,21,27.0,247.0,77.8,9.1,3,0,35.0,0.0,141.8,95.8,4.0,20,5.0,0.0,13.0
2016-11-13,0,1,22,32.0,319.0,68.8,10.0,2,0,83.0,2.0,121.7,74.0,0.0,0,0.0,0.0,0.0
2016-11-20,1,1,27,36.0,301.0,75.0,8.4,3,0,41.0,1.0,127.2,92.9,2.0,16,8.0,0.0,12.0
2016-11-24,1,1,17,24.0,195.0,70.8,8.1,1,0,26.0,1.0,108.9,93.9,8.0,39,4.9,1.0,18.0
2016-12-01,0,1,12,18.0,139.0,66.7,7.7,1,0,56.0,3.0,108.3,62.5,6.0,37,6.2,0.0,14.0
2016-12-11,0,0,17,37.0,165.0,45.9,4.5,1,2,31.0,3.0,45.4,17.2,1.0,1,1.0,0.0,1.0
2016-12-18,1,1,32,36.0,279.0,88.9,7.8,0,0,23.0,3.0,99.0,81.8,4.0,20,5.0,1.0,15.0
2016-12-26,1,1,15,20.0,212.0,75.0,10.6,3,0,30.0,1.0,148.3,86.3,4.0,35,8.8,0.0,15.0
2017-09-10,1,1,24,39.0,268.0,61.5,6.9,1,0,35.0,1.0,90.5,64.8,3.0,24,8.0,0.0,17.0
2017-09-17,0,0,30,50.0,238.0,60.0,4.8,2,2,28.0,2.0,68.6,47.8,3.0,24,8.0,0.0,11.0
2017-09-25,0,1,13,18.0,183.0,72.2,10.2,2,0,53.0,1.0,141.7,91.5,3.0,16,5.3,1.0,10.0
2017-10-01,1,0,20,36.0,252.0,55.6,7.0,3,1,36.0,2.0,93.8,82.7,3.0,25,8.3,0.0,12.0
2017-10-08,1,0,25,36.0,251.0,69.4,7.0,3,1,49.0,1.0,105.2,94.9,4.0,37,9.3,1.0,21.0
2017-10-22,0,1,16,25.0,234.0,64.0,9.4,3,0,72.0,0.0,134.0,81.4,4.0,26,6.5,1.0,13.0
2017-10-29,0,1,14,22.0,143.0,63.6,6.5,0,0,25.0,2.0,82.2,48.1,3.0,16,5.3,0.0,10.0
2017-11-05,1,1,21,33.0,249.0,63.6,7.5,2,0,56.0,1.0,106.8,94.2,3.0,27,9.0,1.0,13.0
2017-11-12,0,0,20,30.0,176.0,66.7,5.9,0,0,30.0,8.0,82.1,47.4,6.0,42,7.0,1.0,12.0
2017-11-19,1,0,18,31.0,145.0,58.1,4.7,0,3,19.0,4.0,30.4,14.3,2.0,10,5.0,0.0,11.0
2017-11-23,1,0,20,27.0,179.0,74.1,6.6,0,2,38.0,2.0,60.6,19.9,0.0,0,0.0,0.0,0.0
2017-11-30,1,1,11,22.0,102.0,50.0,4.6,2,0,24.0,1.0,93.4,60.1,5.0,28,5.6,0.0,13.0
2017-12-10,0,1,20,30.0,332.0,66.7,11.1,3,0,81.0,0.0,137.1,89.4,6.0,13,2.2,0.0,8.0
2017-12-17,0,1,18,27.0,212.0,66.7,7.9,0,2,40.0,2.0,59.5,63.2,6.0,32,5.3,1.0,17.0
2017-12-24,1,0,21,34.0,181.0,61.8,5.3,0,2,33.0,4.0,51.2,48.3,4.0,21,5.3,0.0,13.0
2017-12-31,0,1,17,30.0,179.0,56.7,6.0,1,0,30.0,1.0,85.3,73.8,2.0,16,8.0,0.0,10.0
2018-09-09,0,0,19,29.0,170.0,65.5,5.9,0,0,20.0,6.0,81.1,20.2,5.0,19,3.8,0.0,9.0
2018-09-16,1,1,16,25.0,160.0,64.0,6.4,1,0,64.0,0.0,95.4,69.9,7.0,45,6.4,0.0,15.0
2018-09-23,0,0,19,34.0,168.0,55.9,4.9,1,2,20.0,5.0,54.5,15.7,2.0,21,10.5,0.0,11.0
2018-09-30,1,1,17,27.0,255.0,63.0,9.4,2,0,38.0,3.0,118.6,53.5,3.0,2,0.7,0.0,2.0
2018-10-07,0,0,18,29.0,208.0,62.1,7.2,1,2,44.0,2.0,66.5,41.9,6.0,34,5.7,0.0,11.0
2018-10-14,1,1,17,27.0,183.0,63.0,6.8,2,0,27.0,3.0,107.5,93.9,11.0,82,7.5,1.0,28.0
2018-10-21,0,0,22,35.0,273.0,62.9,7.8,1,0,49.0,4.0,96.5,60.4,6.0,33,5.5,1.0,14.0
2018-11-05,1,0,21,31.0,243.0,67.7,7.8,2,1,37.0,5.0,99.3,23.3,2.0,11,5.5,0.0,6.0
2018-11-11,0,1,26,36.0,270.0,72.2,7.5,1,0,25.0,4.0,102.8,60.7,6.0,9,1.5,1.0,4.0
2018-11-18,0,1,22,32.0,208.0,68.8,6.5,0,0,34.0,2.0,86.5,41.9,4.0,5,1.3,1.0,4.0
2018-11-22,1,1,22,31.0,289.0,71.0,9.3,2,0,90.0,4.0,121.6,58.8,6.0,18,3.0,1.0,10.0
2018-11-29,1,1,24,28.0,249.0,85.7,8.9,1,0,40.0,7.0,115.6,58.7,5.0,22,4.4,0.0,15.0
2018-12-09,1,1,42,54.0,455.0,77.8,8.4,3,2,75.0,3.0,104.9,60.4,4.0,2,0.5,0.0,6.0
2018-12-16,0,0,24,39.0,206.0,61.5,5.3,0,1,18.0,3.0,64.7,19.6,0.0,0,0.0,0.0,0.0
2018-12-23,1,1,20,25.0,161.0,80.0,6.4,1,0,31.0,1.0,106.8,78.9,4.0,2,0.5,1.0,7.0
2018-12-30,0,1,27,44.0,387.0,61.4,8.8,4,0,49.0,4.0,120.2,88.5,4.0,0,0.0,0.0,3.0
2019-09-08,1,1,25,32.0,405.0,78.1,12.7,4,0,62.0,0.0,158.3,94.6,4.0,12,3.0,0.0,8.0
2019-09-15,0,1,26,30.0,269.0,86.7,9.0,3,1,51.0,1.0,123.5,94.8,5.0,69,13.8,0.0,42.0
2019-09-22,1,1,19,32.0,246.0,59.4,7.7,2,1,37.0,1.0,91.4,83.6,2.0,7,3.5,1.0,8.0
2019-09-29,0,0,22,33.0,223.0,66.7,6.8,0,1,35.0,1.0,73.2,78.0,1.0,7,7.0,0.0,7.0
2019-10-06,1,0,27,44.0,463.0,61.4,10.5,2,3,53.0,3.0,83.8,35.8,4.0,27,6.8,0.0,14.0
2019-10-13,0,0,28,40.0,278.0,70.0,7.0,0,0,23.0,1.0,89.4,76.6,3.0,11,3.7,1.0,8.0
2019-10-20,1,1,21,27.0,239.0,77.8,8.9,1,1,44.0,3.0,100.5,62.7,5.0,30,6.0,1.0,8.0
2019-11-04,0,1,22,35.0,257.0,62.9,7.3,3,1,45.0,0.0,101.7,71.3,3.0,12,4.0,0.0,11.0
2019-11-10,1,0,28,46.0,397.0,60.9,8.6,3,1,26.0,1.0,101.4,86.3,0.0,0,0.0,0.0,0.0
2019-11-17,0,1,29,46.0,444.0,63.0,9.7,3,0,49.0,1.0,116.6,74.8,6.0,18,3.0,0.0,9.0
2019-11-24,0,0,19,33.0,212.0,57.6,6.4,0,1,59.0,0.0,64.2,27.8,1.0,4,4.0,0.0,4.0
2019-11-28,1,0,32,49.0,355.0,65.3,7.2,2,1,35.0,4.0,91.8,56.8,4.0,25,6.3,0.0,10.0
2019-12-05,0,0,27,49.0,334.0,55.1,6.8,1,0,35.0,2.0,83.2,60.6,3.0,1,0.3,0.0,1.0
2019-12-15,1,1,15,23.0,212.0,65.2,9.2,2,0,59.0,0.0,123.8,86.8,7.0,12,1.7,0.0,7.0
2019-12-22,0,0,25,44.0,265.0,56.8,6.0,0,0,41.0,2.0,74.5,39.7,1.0,7,7.0,0.0,7.0
2019-12-29,1,1,23,33.0,303.0,69.7,9.2,4,0,48.0,3.0,138.0,65.9,3.0,35,11.7,0.0,23.0
2020-09-13,0,0,25,39.0,266.0,64.1,6.8,1,0,33.0,3.0,92.5,76.2,3.0,30,10.0,0.0,12.0
2020-09-20,1,1,34,47.0,450.0,72.3,9.6,1,0,58.0,1.0,109.4,78.8,5.0,18,3.6,3.0,11.0
2020-09-27,0,0,37,57.0,472.0,64.9,8.3,3,2,52.0,2.0,93.6,74.4,6.0,26,4.3,0.0,9.0
2020-10-04,1,0,41,58.0,502.0,70.7,8.7,4,1,43.0,3.0,112.9,66.8,2.0,12,6.0,0.0,11.0
2020-10-11,1,1,14,21.0,166.0,66.7,7.9,0,1,26.0,1.0,70.7,61.4,2.0,7,3.5,0.0,9.0
2021-01-02,1,0,24,38.0,226.0,63.2,5.9,3,0,26.0,1.0,105.8,67.0,5.0,20,4.0,0.0,12.0
2021-01-08,0,1,21,27.0,295.0,77.8,10.9,5,0,37.0,1.0,151.8,98.9,0.0,0,0.0,0.0,0.0
2021-09-09,0,0,42,58.0,403.0,72.4,6.9,3,1,31.0,1.0,101.4,76.0,4.0,13,3.3,0.0,7.0
2021-09-19,0,1,23,27.0,237.0,85.2,8.8,0,1,48.0,2.0,87.8,36.6,0.0,0,0.0,0.0,0.0
2021-09-27,1,1,21,26.0,238.0,80.8,9.2,3,0,44.0,4.0,143.3,35.6,9.0,6,0.7,0.0,5.0
