Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
2018-12-02,1,1,10.0,40.0,4.0,1.0,12.0,2.0,2.0,5.0,2.5,0.0,4.0,0,0,0,0
2018-12-06,1,1,17.0,238.0,14.0,4.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-12-16,0,1,33.0,170.0,5.2,2.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-12-22,1,1,21.0,84.0,4.0,1.0,18.0,1.0,1.0,8.0,8.0,0.0,8.0,0,0,0,0
2018-12-30,1,0,16.0,93.0,5.8,0.0,33.0,1.0,1.0,13.0,13.0,0.0,13.0,0,0,0,0
2019-09-08,0,1,19.0,84.0,4.4,1.0,18.0,1.0,2.0,75.0,75.0,1.0,75.0,0,0,0.0,0.0
2019-09-15,1,0,15.0,82.0,5.5,1.0,18.0,2.0,3.0,12.0,6.0,0.0,9.0,1,0,0.0,0.0
2019-09-19,0,0,17.0,44.0,2.6,1.0,11.0,1.0,2.0,2.0,2.0,0.0,2.0,0,0,0.0,0.0
2019-09-29,0,1,27.0,100.0,3.7,0.0,16.0,1.0,1.0,8.0,8.0,0.0,8.0,1,0,0.0,0.0
2019-10-06,1,0,20.0,78.0,3.9,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2019-10-13,0,0,15.0,28.0,1.9,0.0,6.0,1.0,3.0,5.0,5.0,0.0,5.0,0,0,0.0,0.0
2019-10-20,1,1,22.0,90.0,4.1,1.0,12.0,1.0,1.0,18.0,18.0,0.0,18.0,0,0,0.0,0.0
2019-10-27,1,1,16.0,75.0,4.7,0.0,34.0,1.0,1.0,8.0,8.0,0.0,8.0,1,1,0.0,0.0
2019-11-03,0,0,13.0,63.0,4.8,1.0,12.0,3.0,3.0,36.0,12.0,1.0,23.0,0,0,0.0,0.0
2019-11-10,1,1,23.0,188.0,8.2,2.0,68.0,2.0,2.0,3.0,1.5,0.0,6.0,0,0,0.0,0.0
2019-11-24,1,1,19.0,159.0,8.4,2.0,74.0,1.0,1.0,16.0,16.0,0.0,16.0,1,1,0.0,0.0
2019-12-01,0,1,26.0,149.0,5.7,1.0,34.0,3.0,3.0,17.0,5.7,0.0,9.0,1,1,0.0,0.0
2019-12-08,0,1,18.0,103.0,5.7,2.0,24.0,1.0,1.0,6.0,6.0,0.0,6.0,0,0,0.0,0.0
2019-12-15,1,0,21.0,86.0,4.1,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2019-12-29,0,1,32.0,211.0,6.6,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2020-01-03,0,1,34.0,250.0,7.4,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,,
2020-09-14,0,1,31.0,116.0,3.7,0.0,13.0,3.0,3.0,15.0,5.0,0.0,6.0,0,0,,
2020-09-20,1,1,25.0,84.0,3.4,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
2020-09-27,0,1,26.0,119.0,4.6,2.0,16.0,2.0,3.0,11.0,5.5,0.0,6.0,0,0,0,0
2020-10-13,1,1,19.0,57.0,3.0,2.0,12.0,1.0,2.0,6.0,6.0,0.0,6.0,0,0,0,0
2020-10-18,1,1,22.0,212.0,9.6,2.0,94.0,2.0,5.0,52.0,26.0,0.0,53.0,0,0,0,0
2020-10-25,1,0,20.0,75.0,3.8,1.0,17.0,2.0,2.0,-3.0,-1.5,0.0,-1.0,0,0,0,0
2020-11-01,0,0,18.0,112.0,6.2,1.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2020-11-08,1,1,21.0,68.0,3.2,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2020-11-12,1,0,19.0,103.0,5.4,0.0,20.0,1.0,2.0,6.0,6.0,0.0,6.0,0,0,0,0
2020-11-22,0,1,28.0,133.0,4.8,1.0,29.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0,0,0,0
2020-11-29,0,1,27.0,178.0,6.6,3.0,31.0,2.0,4.0,7.0,3.5,0.0,4.0,0,0,0,0
2020-12-06,1,0,15.0,60.0,4.0,0.0,10.0,1.0,1.0,9.0,9.0,0.0,9.0,1,1,0,0
2020-12-13,0,1,26.0,215.0,8.3,2.0,47.0,2.0,2.0,7.0,3.5,0.0,6.0,0,0,0,0
2020-12-20,1,1,24.0,147.0,6.1,1.0,33.0,2.0,2.0,5.0,2.5,0.0,6.0,0,0,0,0
2020-12-27,0,0,23.0,98.0,4.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-09-12,1,0,17.0,58.0,3.4,0.0,19.0,3.0,4.0,19.0,6.3,0.0,8.0,0,0,,
2021-09-19,0,1,35.0,182.0,5.2,3.0,60.0,6.0,6.0,55.0,9.2,0.0,15.0,0,0,,
2021-09-26,1,1,28.0,113.0,4.0,0.0,19.0,3.0,3.0,31.0,10.3,0.0,14.0,0,0,,
2021-10-03,0,0,33.0,157.0,4.8,1.0,22.0,2.0,2.0,20.0,10.0,0.0,16.0,0,0,,
2021-10-10,0,1,29.0,130.0,4.5,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
2021-10-18,1,1,20.0,143.0,7.2,3.0,76.0,2.0,3.0,13.0,6.5,0.0,9.0,0,0,,
2021-10-24,1,1,29.0,86.0,3.0,0.0,11.0,2.0,2.0,16.0,8.0,0.0,13.0,0,0,,
2021-10-31,0,1,28.0,68.0,2.4,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2022-01-07,0,0,30.0,109.0,3.6,0.0,14.0,1.0,1.0,19.0,19.0,0.0,19.0,0,0,0.0,0.0
2022-09-11,1,0,21.0,82.0,3.9,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
2022-09-19,0,0,13.0,25.0,1.9,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2022-09-25,1,1,20.0,85.0,4.3,1.0,24.0,5.0,6.0,58.0,11.6,0.0,23.0,0,0,0.0,0.0
2022-10-02,0,1,22.0,114.0,5.2,1.0,19.0,3.0,5.0,33.0,11.0,0.0,22.0,0,0,0.0,0.0
2022-10-09,0,1,28.0,102.0,3.6,2.0,15.0,2.0,2.0,30.0,15.0,0.0,24.0,0,0,0.0,0.0
2022-10-23,1,1,30.0,128.0,4.3,0.0,23.0,3.0,3.0,10.0,3.3,0.0,9.0,0,0,0.0,0.0
2022-10-30,0,1,32.0,219.0,6.8,2.0,41.0,1.0,1.0,9.0,9.0,0.0,9.0,0,0,0.0,0.0
2022-11-06,0,0,17.0,115.0,6.8,2.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2022-11-13,1,1,19.0,53.0,2.8,0.0,10.0,2.0,3.0,14.0,7.0,0.0,7.0,0,0,0.0,0.0
2022-11-17,0,1,28.0,87.0,3.1,1.0,9.0,2.0,2.0,45.0,22.5,0.0,42.0,0,0,0.0,0.0
2022-11-27,1,0,17.0,38.0,2.2,0.0,9.0,3.0,3.0,79.0,26.3,0.0,69.0,1,0,0.0,0.0
2022-12-04,0,0,11.0,30.0,2.7,0.0,6.0,2.0,3.0,8.0,4.0,0.0,6.0,0,0,0.0,0.0
2022-12-11,1,0,17.0,121.0,7.1,1.0,50.0,3.0,5.0,34.0,11.3,0.0,16.0,2,2,0.0,0.0
2022-12-18,0,0,21.0,104.0,5.0,1.0,13.0,4.0,4.0,59.0,14.8,0.0,37.0,1,0,0.0,0.0
2022-12-24,1,0,23.0,126.0,5.5,1.0,48.0,2.0,2.0,0.0,0.0,0.0,5.0,1,1,0.0,0.0
2023-01-07,1,1,19.0,153.0,8.1,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2023-09-10,0,0,15.0,63.0,4.2,0.0,18.0,2.0,3.0,56.0,28.0,0.0,46.0,0,0,0.0,0.0
2023-09-17,1,1,25.0,80.0,3.2,1.0,23.0,3.0,4.0,15.0,5.0,0.0,9.0,0,0,0.0,0.0
2023-09-24,0,0,11.0,20.0,1.8,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2023-10-01,1,1,22.0,122.0,5.5,1.0,29.0,1.0,1.0,11.0,11.0,0.0,11.0,0,0,0.0,0.0
2023-10-08,0,0,13.0,43.0,3.3,0.0,8.0,3.0,3.0,19.0,6.3,0.0,13.0,0,0,0.0,0.0
