Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
2022-09-11,1,0,22,34.0,193.0,64.7,5.7,2,0,26.0,2.0,99.3,53.1,5.0,29,5.8,0.0,21.0
2022-09-18,0,1,31,49.0,277.0,63.3,5.7,1,1,29.0,1.0,76.7,67.6,5.0,28,5.6,1.0,10.0
2022-09-25,1,0,37,58.0,314.0,63.8,5.4,0,0,30.0,2.0,77.8,29.0,2.0,8,4.0,0.0,6.0
2022-10-02,0,1,23,32.0,207.0,71.9,6.5,2,1,23.0,1.0,96.7,43.6,12.0,26,2.2,1.0,10.0
2022-10-09,1,0,28,42.0,250.0,66.7,6.0,1,1,28.0,1.0,80.5,68.4,4.0,42,10.5,0.0,15.0
2022-10-16,0,0,23,37.0,222.0,62.2,6.0,0,1,32.0,6.0,67.6,30.4,10.0,100,10.0,0.0,42.0
2022-10-20,1,1,20,29.0,204.0,69.0,7.0,1,0,31.0,2.0,100.4,68.9,7.0,30,4.3,0.0,17.0
2022-10-30,0,0,31,44.0,326.0,70.5,7.4,3,2,38.0,4.0,95.5,48.7,6.0,36,6.0,0.0,8.0
2022-11-06,1,0,25,35.0,175.0,71.4,5.0,2,0,22.0,5.0,101.5,46.5,8.0,60,7.5,0.0,21.0
2022-11-27,1,0,18,29.0,191.0,62.1,6.6,2,1,33.0,1.0,89.9,86.0,7.0,56,8.0,1.0,18.0
2022-12-12,1,0,1,1.0,9.0,100.0,9.0,0,0,9.0,0.0,104.2,62.2,1.0,3,3.0,0.0,3.0
2023-01-07,1,0,22,30.0,262.0,73.3,8.7,1,0,34.0,1.0,110.7,54.0,5.0,33,6.6,0.0,33.0
2023-11-12,1,1,19,32.0,249.0,59.4,7.8,0,1,33.0,2.0,71.0,57.1,6.0,33,5.5,1.0,13.0
2023-11-19,0,0,20,30.0,214.0,66.7,7.1,1,1,48.0,3.0,84.6,46.2,7.0,51,7.3,1.0,22.0
2023-11-26,1,0,27,45.0,256.0,60.0,5.7,1,0,36.0,4.0,83.2,37.9,1.0,2,2.0,1.0,2.0
2023-12-03,0,1,13,23.0,145.0,56.5,6.3,1,0,21.0,2.0,89.9,53.2,9.0,20,2.2,0.0,9.0
2023-12-17,1,0,26,39.0,211.0,66.7,5.4,1,2,38.0,3.0,67.4,22.2,6.0,49,8.2,0.0,15.0
2023-12-24,0,0,24,38.0,230.0,63.2,6.1,2,0,38.0,2.0,97.5,20.9,5.0,32,6.4,0.0,12.0
2023-12-31,0,1,25,31.0,232.0,80.7,7.5,3,1,36.0,1.0,116.7,86.0,5.0,24,4.8,0.0,14.0
2024-09-08,0,0,21,31.0,162.0,67.7,5.2,1,0,24.0,4.0,91.1,82.5,5.0,57,11.4,0.0,29.0
2024-09-15,1,1,17,21.0,266.0,81.0,12.7,3,0,60.0,1.0,158.3,97.5,5.0,59,11.8,0.0,26.0
2024-09-22,1,0,21,34.0,207.0,61.8,6.1,1,1,28.0,1.0,76.5,37.9,5.0,45,9.0,0.0,21.0
2024-09-29,1,0,16,22.0,142.0,72.7,6.5,1,0,22.0,4.0,104.7,33.1,1.0,3,3.0,0.0,3.0
2024-10-06,0,1,19,30.0,195.0,63.3,6.5,1,1,34.0,1.0,79.2,60.9,7.0,83,11.9,1.0,50.0
