Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
2017-09-10,1,0,5,6.0,27,5.4,0,13,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-09-17,0,0,2,2.0,13,6.5,0,14,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-09-21,1,0,1,3.0,8,8.0,0,8,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-10-01,0,0,2,3.0,35,17.5,0,21,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-10-08,0,0,7,9.0,83,11.9,1,27,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-10-15,0,0,4,8.0,46,11.5,0,31,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-10-22,1,0,1,2.0,16,16.0,0,16,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-10-29,0,0,2,4.0,22,11.0,0,22,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-11-05,1,0,3,5.0,27,9.0,0,14,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-11-26,1,0,1,2.0,14,14.0,0,14,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-12-03,0,1,2,3.0,20,10.0,0,11,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-12-10,0,1,2,2.0,10,5.0,0,8,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-12-17,1,1,4,5.0,52,13.0,0,24,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-12-24,1,1,3,3.0,42,14.0,1,21,0.0,0,0.0,0,0,0,0,0.0,0.0
2017-12-31,0,1,4,6.0,100,25.0,0,44,0.0,0,0.0,0,0,0,0,0.0,0.0
2018-09-09,0,0,5,9.0,90,18.0,0,36,0.0,0,0.0,0,0,0,0,0,0
2018-09-16,1,1,2,4.0,22,11.0,0,17,0.0,0,0.0,0,0,0,0,0,0
2018-09-23,0,0,5,7.0,79,15.8,0,23,0.0,0,0.0,0,0,0,0,0,0
2018-09-30,0,0,6,8.0,125,20.8,1,82,0.0,0,0.0,0,0,0,0,0,0
2018-10-07,1,0,5,7.0,83,16.6,0,45,0.0,0,0.0,0,0,0,0,0,0
2018-10-15,0,0,4,6.0,30,7.5,0,11,0.0,0,0.0,0,0,0,0,,
2018-10-21,1,0,5,8.0,98,19.6,1,35,0.0,0,0.0,0,0,0,0,0,0
2018-10-28,0,0,5,8.0,57,11.4,0,20,0.0,0,0.0,0,0,0,0,0,0
2018-11-01,1,1,4,4.0,108,27.0,1,71,0.0,0,0.0,0,0,0,0,0,0
2018-11-12,1,0,9,10.0,83,9.2,0,22,0.0,0,0.0,0,0,0,0,,
2018-11-25,0,0,6,13.0,48,8.0,0,12,1.0,10,10.0,10,0,0,0,0,0
2018-12-02,0,0,6,9.0,70,11.7,0,28,0.0,0,0.0,0,0,0,0,0,0
2018-12-09,1,1,7,9.0,210,30.0,1,85,0.0,0,0.0,0,0,0,0,0,0
2018-12-16,1,1,3,8.0,51,17.0,0,21,0.0,0,0.0,0,0,0,0,0,0
2018-12-23,1,0,7,12.0,74,10.6,0,35,0.0,0,0.0,0,0,0,0,0,0
2018-12-30,0,0,9,14.0,149,16.6,1,43,0.0,0,0.0,0,0,0,0,0,0
2019-09-08,0,1,8,10.0,54,6.8,0,19,0.0,0,0.0,0,0,0,0,0,0
2019-09-15,0,1,3,3.0,54,18.0,0,36,0.0,0,0.0,0,0,0,0,0,0
2019-09-22,1,1,6,8.0,57,9.5,0,12,0.0,0,0.0,0,0,0,0,0,0
2019-10-07,1,1,6,8.0,70,11.7,1,22,1.0,18,18.0,18,0,0,0,,
2019-10-13,0,1,8,8.0,103,12.9,0,45,0.0,0,0.0,0,0,0,0,0,0
2019-10-20,0,1,3,5.0,38,12.7,0,16,2.0,0,0.0,2,0,0,0,0,0
2019-10-27,1,1,6,7.0,86,14.3,0,29,0.0,0,0.0,0,0,0,0,0,0
2019-10-31,0,1,6,8.0,79,13.2,1,30,0.0,0,0.0,0,0,0,0,0,0
2019-11-24,1,1,6,6.0,129,21.5,1,61,0.0,0,0.0,0,0,0,0,0,0
2019-12-01,0,0,2,4.0,17,8.5,0,13,1.0,-3,-3.0,-3,0,0,0,0,0
2019-12-08,0,1,6,8.0,67,11.2,1,39,0.0,0,0.0,0,0,0,0,0,0
2019-12-15,1,0,13,17.0,134,10.3,0,21,0.0,0,0.0,0,0,1,0,0,0
2019-12-21,1,1,5,8.0,79,15.8,1,36,0.0,0,0.0,0,0,0,0,0,0
2019-12-29,0,1,7,7.0,86,12.3,0,26,1.0,7,7.0,7,0,0,0,0,0
2020-01-03,1,0,7,9.0,68,9.7,0,41,0.0,0,0.0,0,0,0,0,0.0,0.0
2020-09-13,1,0,4,5.0,44,11.0,0,14,1.0,9,9.0,9,0,0,0,0.0,0.0
2020-10-04,1,0,15,15.0,183,12.2,1,38,1.0,8,8.0,8,0,0,0,0.0,0.0
2020-10-11,1,0,4,8.0,44,11.0,0,12,0.0,0,0.0,0,0,0,0,0.0,0.0
2020-10-18,1,1,7,10.0,109,15.6,1,44,0.0,0,0.0,0,0,0,0,0.0,0.0
2020-10-25,0,1,5,7.0,55,11.0,0,15,0.0,0,0.0,0,0,0,0,0.0,0.0
2020-11-01,0,0,2,4.0,39,19.5,0,25,0.0,0,0.0,0,0,0,0,0.0,0.0
2020-12-26,0,1,4,5.0,92,23.0,0,27,0.0,0,0.0,0,0,0,0,0.0,0.0
2021-01-02,1,1,1,2.0,29,29.0,0,29,1.0,6,6.0,6,0,0,0,,
2021-01-09,0,1,5,7.0,10,2.0,0,6,0.0,0,0.0,0,0,0,0,0,0
2021-09-12,0,1,4,5.0,78,19.5,0,35,0.0,0,0.0,0,0,0,0,,
2021-09-19,0,1,4,4.0,17,4.3,0,8,0.0,0,0.0,0,0,1,0,,
2021-09-26,1,0,7,9.0,92,13.1,0,39,1.0,9,9.0,9,0,0,0,0,0
2021-10-03,1,0,4,10.0,40,10.0,0,18,0.0,0,0.0,0,0,0,0,,
2021-11-07,1,0,6,8.0,101,16.8,1,29,0.0,0,0.0,0,0,1,1,,
2021-11-15,1,1,5,7.0,50,10.0,1,18,0.0,0,0.0,0,0,0,0,,
2021-11-21,0,1,4,4.0,34,8.5,1,13,0.0,0,0.0,0,0,0,0,,
2021-11-28,1,1,1,2.0,13,13.0,0,13,0.0,0,0.0,0,0,0,0,,
2021-12-05,0,0,9,12.0,181,20.1,2,48,1.0,5,5.0,5,0,0,0,,
2021-12-12,0,1,13,15.0,151,11.6,1,21,0.0,0,0.0,0,0,0,0,,
2021-12-19,1,1,6,6.0,93,15.5,0,28,0.0,0,0.0,0,0,0,0,,
2021-12-23,0,0,2,3.0,21,10.5,0,16,0.0,0,0.0,0,0,0,0,,
2022-01-01,0,1,4,8.0,23,5.8,1,9,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-01-08,1,1,4,6.0,29,7.3,2,15,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-09-25,0,0,4,5.0,28,7.0,0,11,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-10-03,1,1,2,4.0,24,12.0,0,20,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-10-09,0,1,5,6.0,47,9.4,0,20,0.0,0,0.0,0,0,1,1,0.0,0.0
2022-10-16,0,0,8,10.0,83,10.4,0,19,0.0,0,0.0,0,0,0,0,1.0,0.0
2022-10-23,1,0,6,9.0,98,16.3,1,34,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-10-30,0,1,3,5.0,39,13.0,1,23,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-11-13,1,1,1,2.0,21,21.0,0,21,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-11-21,1,1,4,6.0,84,21.0,2,39,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-11-27,1,1,3,4.0,26,8.7,0,14,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-12-04,1,1,2,3.0,22,11.0,0,19,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-12-11,1,1,4,5.0,28,7.0,0,15,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-12-15,0,1,4,5.0,93,23.3,2,54,0.0,0,0.0,0,0,0,0,0.0,0.0
2022-12-24,1,1,6,8.0,120,20.0,2,34,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-09-10,0,1,3,6.0,19,6.3,0,11,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-09-17,0,1,3,3.0,30,10.0,0,12,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-09-21,1,1,7,9.0,90,12.9,0,29,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-01,1,1,1,1.0,9,9.0,0,9,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-08,1,1,3,4.0,67,22.3,3,38,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-15,0,0,1,2.0,1,1.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-10-23,0,0,5,7.0,78,15.6,0,28,1.0,2,2.0,2,0,0,0,0.0,0.0
2023-10-29,1,0,9,11.0,149,16.6,0,34,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-12,0,1,3,4.0,116,38.7,1,66,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-19,1,1,8,9.0,89,11.1,1,24,0.0,0,0.0,0,0,0,0,0.0,0.0
2023-11-23,0,1,3,5.0,19,6.3,0,11,0.0,0,0.0,0,0,0,0,0.0,0.0
