Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/30,vsJAX,W20-3,25,35,234,71.4,6.7,0,0,43,6,89.5,58.7,13,66,5.1,1,16
Sun 12/23,@PHI,L32-30,29,40,339,72.5,8.5,2,0,35,4,114.5,83.4,8,49,6.1,2,12
Sat 12/15,@NYJ,W29-22,22,28,294,78.6,10.5,2,0,50,6,134.2,74.1,4,26,6.5,0,24
Sun 12/9,vsIND,L24-21,27,38,267,71.1,7.0,1,0,47,5,99.3,47.5,5,35,7.0,0,12
Sun 12/2,vsCLE,W29-13,22,31,224,71.0,7.2,1,0,29,4,102.1,66.2,7,30,4.3,0,11
Mon 11/26,vsTEN,W34-17,19,24,210,79.2,8.8,2,0,28,4,130.9,89.6,9,70,7.8,1,34
Sun 11/18,@WSH,W23-21,16,24,208,66.7,8.7,1,2,40,3,72.9,19.9,3,7,2.3,0,6
Sun 11/4,@DEN,W19-17,17,24,213,70.8,8.9,2,0,31,4,125.9,50.4,6,38,6.3,0,8
Thu 10/25,vsMIA,W42-23,16,20,239,80.0,12.0,5,0,73,0,156.0,98.2,1,14,14.0,0,14
Sun 10/21,@JAX,W20-7,12,24,139,50.0,5.8,1,0,31,1,81.8,46.4,7,13,1.9,0,4
Sun 10/14,vsBUF,W20-13,15,25,177,60.0,7.1,1,2,24,7,61.6,15.3,2,2,1.0,0,3
Sun 10/7,vsDAL,W19-16 OT,33,44,375,75.0,8.5,1,1,49,1,98.2,55.6,10,40,4.0,0,11
Sun 9/30,@IND,W37-34 OT,29,42,375,69.0,8.9,2,1,30,7,102.8,86.4,6,41,6.8,1,18
Sun 9/23,vsNYG,L27-22,24,40,385,60.0,9.6,2,1,39,3,98.4,57.1,5,36,7.2,0,10
Sun 9/16,@TEN,L20-17,22,32,310,68.8,9.7,2,1,39,4,107.6,72.2,5,44,8.8,0,15
Sun 9/9,@NE,L27-20,17,34,176,50.0,5.2,1,1,27,3,62.9,22.2,8,40,5.0,0,13
Regular Season Stats,345,505,"4,165",68.3,8.2,26,9,73,62,60.4,61.8,99,551,5.6,5,34,,
