Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
Sun 1/7,vsJAX,W28-20,19,153,8.1,1,69,0,0,0,0.0,0,0,0,0,0,0
Sun 12/31,@HOU,L26-3,12,42,3.5,0,16,0,1,0,0.0,0,0,0,0,0,0
Sun 12/24,vsSEA,L20-17,19,88,4.6,1,12,1,1,11,11.0,0,11,0,0,0,0
Sun 12/17,vsHOU,L19-16 OT,16,9,0.6,0,6,4,4,1,0.3,0,3,0,0,0,0
Mon 12/11,@MIA,W28-27,17,34,2.0,2,6,1,2,17,17.0,0,17,0,0,0,0
Sun 12/3,vsIND,L31-28 OT,21,102,4.9,2,22,1,2,18,18.0,0,18,0,0,0,0
Sun 11/26,vsCAR,W17-10,18,76,4.2,2,18,1,2,0,0.0,0,0,0,0,0,0
Sun 11/19,@JAX,L34-14,10,38,3.8,0,16,1,2,6,6.0,0,6,0,0,0,0
Sun 11/12,@TB,L20-6,11,24,2.2,0,8,1,1,-4,-4.0,0,-4,0,0,0,0
Thu 11/2,@PIT,L20-16,17,75,4.4,1,15,3,4,27,9.0,0,23,0,0,0,0
Sun 10/29,vsATL,W28-23,22,101,4.6,0,14,4,4,21,5.3,0,8,0,0,0,0
Sun 10/15,vsBAL,L24-16,12,97,8.1,1,63,2,2,16,8.0,0,9,0,0,0,0
NFL London Games,,,,,,,,,,,,,,,,,
Sun 10/8,@IND,L23-16,13,43,3.3,0,8,3,3,19,6.3,0,13,0,0,0,0
Sun 10/1,vsCIN,W27-3,22,122,5.5,1,29,1,1,11,11.0,0,11,0,0,0,0
Sun 9/24,@CLE,L27-3,11,20,1.8,0,9,0,0,0,0.0,0,0,0,0,0,0
Sun 9/17,vsLAC,W27-24 OT,25,80,3.2,1,23,3,4,15,5.0,0,9,0,0,0,0
Sun 9/10,@NO,L16-15,15,63,4.2,0,18,2,3,56,28.0,0,46,0,0,0,0
Regular Season Stats,280,"1,167",4.2,12,69,28,36,214,7.6,0,46,0,0,-,-,,
