Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/19,vsTEN,W19-17,10,16,139,62.5,8.7,0,1,50,1,64.3,6.1,0,0,0.0,0,0
Sun 10/12,@ARI,L30-20,24,38,354,63.2,9.3,2,3,64,2,78.2,51.1,0,0,0.0,0,0
Mon 10/6,vsSEA,L27-17,21,36,283,58.3,7.9,2,0,60,1,102.0,49.1,2,4,2.0,0,4
Thu 9/25,vsNYG,L45-14,19,33,257,57.6,7.8,1,4,36,2,53.0,10.0,1,12,12.0,0,12
Sun 9/21,@PHI,L37-34,30,48,427,62.5,8.9,3,1,81,0,103.4,81.6,3,5,1.7,0,3
Sun 9/14,vsJAX,W41-10,22,33,250,66.7,7.6,2,0,31,2,109.4,90.3,1,-1,-1.0,0,-1
Regular Season Stats,126,204,"1,710",61.8,8.4,10,9,81,8,60.4,52.3,7,20,2.9,0,12,,
