Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/6,@HOU,L23-20,9,30,131,30.0,4.4,1,0,49,1,56.4,55.5,4,54,13.5,0,19
Sun 9/29,@BAL,L35-10,16,29,180,55.2,6.2,0,0,52,3,73.9,28.5,5,21,4.2,0,8
Mon 9/23,vsJAX,W47-10,23,30,263,76.7,8.8,4,0,28,0,142.1,97.6,6,44,7.3,0,13
Thu 9/12,@MIA,W31-10,13,19,139,68.4,7.3,1,0,33,0,107.1,86.0,2,2,1.0,0,3
Sun 9/8,vsARI,W34-28,18,23,232,78.3,10.1,2,0,28,2,137.7,87.7,9,39,4.3,2,9
Regular Season Stats,79,131,945,60.3,7.2,8,0,52,6,102.8,77.5,26,160,6.2,2,19,,
