Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/28,@MIA,W37-24,20,25,358,80.0,14.3,3,0,74,1,158.3,89.2,5,18,3.6,0,6
Sun 12/21,vsNE,L17-16,17,27,210,63.0,7.8,1,1,26,2,83.9,42.2,3,9,3.0,0,6
Sun 12/14,@TEN,W16-11,16,28,179,57.1,6.4,1,0,48,3,88.2,37.7,4,16,4.0,0,10
Sun 12/7,@MIN,L30-24 OT,18,29,254,62.1,8.8,1,1,45,3,87.4,73.0,6,33,5.5,0,18
Mon 12/1,vsMIA,L16-13,7,13,65,53.9,5.0,0,1,20,2,35.7,6.0,4,19,4.8,0,13
Mon 11/24,vsBUF,L38-3,10,12,89,83.3,7.4,0,0,28,2,97.6,39.2,2,4,2.0,0,4
Sun 10/26,vsBUF,L43-23,2,8,5,25.0,0.6,0,3,4,0,0.0,0.1,1,0,0.0,0,0
Thu 10/16,@NE,L27-25,20,34,226,58.8,6.6,1,0,28,3,88.6,69.9,7,37,5.3,0,10
Sun 10/12,vsDEN,L31-17,23,43,190,53.5,4.4,2,1,27,4,70.9,56.0,2,11,5.5,0,11
Sun 10/5,@SD,L31-0,4,12,27,33.3,2.3,0,1,9,0,7.6,4.5,1,3,3.0,0,3
Sun 9/28,vsDET,L24-17,17,33,209,51.5,6.3,1,1,32,2,68.9,39.9,4,4,1.0,0,2
Mon 9/22,vsCHI,L27-19,26,43,316,60.5,7.3,1,2,51,3,71.5,34.7,3,20,6.7,0,11
Sun 9/14,@GB,L31-24,16,32,176,50.0,5.5,1,1,29,1,64.1,74.9,7,26,3.7,1,9
Sun 9/7,vsOAK,W19-14,23,28,221,82.1,7.9,1,1,26,2,96.6,30.4,10,38,3.8,0,17
Regular Season Stats,219,367,"2,525",59.7,6.9,13,13,74,28,52.1,45.8,59,238,4.0,1,18,,
