Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 1/9,@DET,L37-30,5,6,75,15.0,2,29,0,0,0.0,0,0,0,0,-,-
Sun 1/2,vsMIN,W37-10,6,6,72,12.0,1,20,0,0,0.0,0,0,0,0,-,-
Sat 12/25,vsCLE,W24-22,2,5,45,22.5,1,34,1,13,13.0,13,0,0,0,-,-
Sun 12/19,@BAL,W31-30,2,4,23,11.5,0,17,1,5,5.0,5,0,0,0,-,-
Sun 12/12,vsCHI,W45-30,6,7,75,12.5,1,32,1,14,14.0,14,0,0,0,-,-
Sun 11/28,vsLAR,W36-28,2,6,13,6.5,0,7,0,0,0.0,0,0,0,0,-,-
Sun 11/14,vsSEA,W17-0,1,4,6,6.0,0,6,0,0,0.0,0,0,0,0,-,-
Sun 11/7,@KC,L13-7,1,1,20,20.0,1,20,0,0,0.0,0,0,0,0,-,-
Sun 10/24,vsWSH,W24-10,5,6,60,12.0,1,19,0,0,0.0,0,0,0,0,-,-
Sun 10/17,@CHI,W24-14,3,5,27,9.0,1,13,0,0,0.0,0,0,0,0,0,0
Sun 10/10,@CIN,W25-22 OT,2,2,6,3.0,0,7,0,0,0.0,0,0,0,0,0,0
Sun 10/3,vsPIT,W27-17,2,3,33,16.5,0,28,0,0,0.0,0,0,0,0,-,-
Sun 9/26,@SF,W30-28,1,1,42,42.0,0,42,0,0,0.0,0,0,0,0,-,-
Sun 9/12,@NO,L38-3,2,4,16,8.0,0,14,0,0,0.0,0,0,0,0,-,-
Regular Season Stats,40,60,513,12.8,8,42,3,32,10.7,14,0,0,0,0,0,,
