Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/8,vsLAR,W19-16 OT,19,31,213,61.3,6.9,1,2,36,3,65.7,39.3,4,51,12.8,0,25
Sun 1/1,vsNYJ,W23-6,18,29,183,62.1,6.3,2,0,41,4,103.1,56.6,5,18,3.6,0,11
Sat 12/24,@KC,L24-10,25,40,215,62.5,5.4,1,1,39,2,74.5,51.0,3,16,5.3,0,9
Thu 12/15,vsSF,L21-13,31,44,238,70.5,5.4,1,0,33,3,90.9,47.0,1,18,18.0,0,18
Sun 12/11,vsCAR,L30-24,21,36,264,58.3,7.3,3,2,38,3,85.9,58.8,3,20,6.7,0,13
Sun 12/4,@LAR,W27-23,28,39,367,71.8,9.4,3,1,40,4,116.1,67.5,2,3,1.5,0,4
Sun 11/27,vsLV,L40-34 OT,27,37,328,73.0,8.9,2,1,35,3,106.6,47.0,5,22,4.4,0,18
Sun 11/13,vsTB,L21-16,23,33,275,69.7,8.3,2,0,23,3,115.1,55.8,4,22,5.5,0,9
Sun 11/6,@ARI,W31-21,26,34,275,76.5,8.1,2,1,51,2,106.9,80.0,6,38,6.3,0,18
Sun 10/30,vsNYG,W27-13,23,34,212,67.7,6.2,2,0,33,3,104.0,66.5,5,26,5.2,0,14
Sun 10/23,@LAC,W37-23,20,27,210,74.1,7.8,2,1,28,2,105.5,63.5,4,7,1.8,0,9
Sun 10/16,vsARI,W19-9,20,31,197,64.5,6.4,0,0,22,5,82.3,43.9,6,48,8.0,0,24
Sun 10/9,@NO,L39-32,16,25,268,64.0,10.7,3,0,50,3,139.7,78.3,3,13,4.3,0,13
Sun 10/2,@DET,W48-45,23,30,320,76.7,10.7,2,0,54,0,132.6,91.4,7,49,7.0,1,17
Sun 9/25,vsATL,L27-23,32,44,325,72.7,7.4,2,1,36,2,99.1,61.1,2,-1,-0.5,0,2
Sun 9/18,@SF,L27-7,24,30,197,80.0,6.6,0,1,27,2,80.1,56.4,2,2,1.0,0,3
Mon 9/12,vsDEN,W17-16,23,28,195,82.1,7.0,2,0,38,2,119.5,75.0,6,14,2.3,0,14
Regular Season Stats,399,572,"4,282",69.8,7.5,30,11,54,46,100.9,62.8,68,366,5.4,1,25,,
