Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/1,vsBAL,L24-16,22,44,232,50.0,5.3,0,0,31,1,65.7,51.2,4,17,4.3,0,13
Sat 12/24,vsARI,W23-16,18,31,154,58.1,5.0,2,0,19,2,92.7,63.7,5,48,9.6,0,17
Sun 12/18,@STL,W20-13,15,26,179,57.7,6.9,0,1,55,1,62.8,-,2,-2,-1.0,0,-1
Sun 12/11,vsHOU,L20-19,16,28,189,57.1,6.8,1,0,36,1,89.7,48.5,1,2,2.0,0,2
Sun 12/4,@PIT,L35-7,11,24,135,45.8,5.6,1,0,43,3,77.6,26.5,2,6,3.0,0,4
Sun 11/27,vsCLE,W23-20,21,31,270,67.7,8.7,1,0,51,2,105.6,47.4,6,23,3.8,0,7
Sun 11/20,@BAL,L31-24,24,45,373,53.3,8.3,1,3,49,2,60.7,50.7,4,32,8.0,0,11
Sun 11/13,vsPIT,L24-17,15,30,170,50.0,5.7,2,2,36,0,61.8,32.4,0,0,0.0,0,0
Sun 11/6,@TEN,W24-17,22,39,217,56.4,5.6,3,0,25,1,97.9,77.4,3,4,1.3,0,3
Sun 10/30,@SEA,W34-12,18,29,168,62.1,5.8,2,2,43,1,72.2,57.6,2,3,1.5,0,3
Sun 10/16,vsIND,W27-17,25,32,264,78.1,8.3,1,0,32,0,111.5,70.5,2,-1,-0.5,0,0
Sun 10/9,@JAX,W30-20,21,33,179,63.6,5.4,2,1,37,2,85.3,79.2,0,0,0.0,0,0
Sun 10/2,vsBUF,W23-20,18,36,298,50.0,8.3,1,2,58,2,64.4,21.9,3,12,4.0,1,6
Sun 9/25,vsSF,L13-8,17,32,157,53.1,4.9,0,2,22,1,40.8,15.9,1,5,5.0,0,5
Sun 9/18,@DEN,L24-22,27,41,332,65.9,8.1,2,0,84,2,107.0,55.8,2,3,1.5,0,5
Sun 9/11,@CLE,W27-17,10,15,81,66.7,5.4,1,0,22,3,102.4,47.1,0,0,0.0,0,0
Regular Season Stats,300,516,"3,398",58.1,6.6,20,13,84,24,80.4,49.5,37,152,4.1,1,17,,
