Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/30,@MIN,L37-34,28,40,365,70.0,9.1,4,0,73,5,131.8,74.9,0,0,0.0,0,0
Sun 12/23,vsTEN,W55-7,27,38,342,71.1,9.0,3,0,34,1,125.1,75.2,4,11,2.8,1,6
Sun 12/16,@CHI,W21-13,23,36,291,63.9,8.1,3,0,31,3,116.8,90.9,4,14,3.5,0,6
Sun 12/9,vsDET,W27-20,14,24,173,58.3,7.2,0,0,38,3,80.7,48.7,3,32,10.7,1,27
Sun 12/2,vsMIN,W23-14,27,35,286,77.1,8.2,1,1,33,2,98.0,77.1,4,15,3.8,0,8
Sun 11/25,@NYG,L38-10,14,25,219,56.0,8.8,1,1,61,5,81.9,13.6,3,22,7.3,0,11
Sun 11/18,@DET,W24-20,19,27,236,70.4,8.7,2,1,40,3,106.4,47.3,1,3,3.0,0,3
Sun 11/4,vsARI,W31-17,14,30,218,46.7,7.3,4,1,72,1,96.9,84.9,8,33,4.1,0,25
Sun 10/28,vsJAX,W24-15,22,35,186,62.9,5.3,2,0,31,2,95.7,42.4,3,4,1.3,0,4
Sun 10/21,@STL,W30-20,30,37,342,81.1,9.2,3,0,52,3,132.2,-,2,0,0.0,0,1
Sun 10/14,@HOU,W42-24,24,37,338,64.9,9.1,6,0,48,2,133.8,95.4,2,17,8.5,0,15
Sun 10/7,@IND,L30-27,20,32,235,62.5,7.3,3,1,31,5,103.0,57.3,5,57,11.4,0,19
Sun 9/30,vsNO,W28-27,31,41,319,75.6,7.8,4,1,20,0,119.9,85.1,5,13,2.6,0,10
Mon 9/24,@SEA,L14-12,26,39,223,66.7,5.7,0,0,31,8,81.5,53.5,2,17,8.5,0,16
Thu 9/13,vsCHI,W23-10,22,32,219,68.8,6.8,1,1,26,5,85.3,49.8,3,-6,-2.0,0,-2
Sun 9/9,vsSF,L30-22,30,44,303,68.2,6.9,2,1,49,3,93.3,56.5,5,27,5.4,0,9
Regular Season Stats,371,552,"4,295",67.2,7.8,39,8,73,51,108.0,71.3,54,259,4.8,2,27,,
