Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
Sun 12/31,vsJAX,W15-10,28,51,1.8,0,13,1,2,66,66.0,1,66,0,0,0,0
Sun 12/24,vsLAR,L27-23,8,25,3.1,0,10,1,1,6,6.0,0,6,0,0,0,0
Sun 12/17,@SF,L25-23,7,19,2.7,0,10,2,2,9,4.5,0,8,0,0,0,0
Sun 12/10,@ARI,L12-7,8,20,2.5,1,9,0,0,0,0.0,0,0,0,0,0,0
Sun 12/3,vsHOU,W24-13,11,109,9.9,1,75,0,0,0,0.0,0,0,1,0,0,0
Sun 11/26,@IND,W20-16,13,79,6.1,0,16,1,2,10,10.0,0,10,0,0,0,0
Thu 11/16,@PIT,L40-17,7,32,4.6,0,16,0,0,0,0.0,0,0,0,0,0,0
Sun 11/12,vsCIN,W24-20,11,52,4.7,0,23,0,3,0,0.0,0,0,0,0,0,0
Sun 11/5,vsBAL,W23-20,8,26,3.3,1,10,2,2,10,5.0,0,6,0,0,0,0
Sun 10/22,@CLE,W12-9 OT,13,13,1.0,0,9,2,3,11,5.5,0,8,0,0,0,0
Mon 10/16,vsIND,W36-22,19,131,6.9,1,72,1,1,14,14.0,0,14,0,0,-,-
Sun 10/8,@MIA,L16-10,4,9,2.3,0,11,0,0,0,0.0,0,0,0,0,0,0
Sun 10/1,@HOU,L57-14,6,7,1.2,0,3,0,0,0,0.0,0,0,0,0,0,0
Sun 9/24,vsSEA,W33-27,13,54,4.2,0,25,1,1,10,10.0,0,10,0,0,0,0
Sun 9/17,@JAX,W37-16,14,92,6.6,1,17,0,0,0,0.0,0,0,0,0,0,0
Sun 9/10,vsOAK,L26-16,6,25,4.2,0,8,0,0,0,0.0,0,0,0,0,0,0
Regular Season Stats,176,744,4.2,5,75,11,17,136,12.4,1,66,1,0,-,-,,
