Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 1/3,@CHI,W35-16,2,4,17,8.5,0,14,0,0,0.0,0,0,0,0,0,0
Sun 12/27,vsTEN,W40-14,2,2,14,7.0,0,7,0,0,0.0,0,0,0,0,0,0
Sat 12/19,vsCAR,W24-16,5,6,56,11.2,0,22,0,0,0.0,0,0,0,0,0,0
Sun 12/13,@DET,W31-24,2,3,19,9.5,0,14,0,0,0.0,0,0,0,0,0,0
Sun 12/6,vsPHI,W30-16,3,4,50,16.7,0,31,0,0,0.0,0,0,0,0,0,0
Sun 11/29,vsCHI,W41-25,4,6,23,5.8,1,8,0,0,0.0,0,0,0,0,0,0
Sun 11/22,@IND,L34-31 OT,2,4,18,9.0,0,10,0,0,0.0,0,0,0,0,0,0
Sun 9/27,@NO,W37-30,6,8,146,24.3,1,72,1,-2,-2.0,-2,0,0,0,0,0
Sun 9/20,vsDET,W42-21,3,5,45,15.0,0,25,0,0,0.0,0,0,0,0,0,0
Sun 9/13,@MIN,W43-34,4,4,63,15.8,1,38,1,19,19.0,19,0,0,0,0,0
Regular Season Stats,33,46,451,13.7,3,72,2,17,8.5,19,0,0,0,-,-,,
