Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/30,vsSF,W48-32,15,26,199,57.7,7.7,4,0,36,0,121.6,57.9,1,0,0.0,0,0
Sun 12/23,@ARI,W31-9,19,24,216,79.2,9.0,1,0,39,2,118.1,83.6,2,6,3.0,1,5
Sun 12/16,vsPHI,L30-23,35,53,339,66.0,6.4,0,1,33,2,75.9,28.8,2,11,5.5,0,7
Sun 12/9,@CHI,L15-6,20,44,180,45.5,4.1,0,4,29,3,19.1,11.1,1,5,5.0,0,5
Sun 12/2,@DET,W30-16,17,33,207,51.5,6.3,1,1,26,2,68.6,45.0,2,-2,-1.0,0,-1
Mon 11/19,vsKC,W54-51,31,49,413,63.3,8.4,4,0,40,5,117.1,73.3,4,6,1.5,1,7
Sun 11/11,vsSEA,W36-31,28,39,318,71.8,8.2,2,0,35,2,113.0,59.4,3,3,1.0,0,4
Sun 11/4,@NO,L45-35,28,40,391,70.0,9.8,3,1,48,0,115.7,75.7,3,17,5.7,0,9
Sun 10/28,vsGB,W29-27,19,35,295,54.3,8.4,3,0,32,5,111.0,58.1,5,7,1.4,0,7
Sun 10/21,@SF,W39-10,18,24,202,75.0,8.4,2,0,32,1,127.4,69.5,3,4,1.3,0,5
Sun 10/14,@DEN,W23-20,14,28,201,50.0,7.2,0,1,44,5,58.8,26.5,4,14,3.5,0,13
Sun 10/7,@SEA,W33-31,23,32,321,71.9,10.0,1,2,31,1,88.2,77.9,5,15,3.0,0,12
Thu 9/27,vsMIN,W38-31,26,33,465,78.8,14.1,5,0,70,1,158.3,96.1,2,7,3.5,0,8
Sun 9/23,vsLAC,W35-23,29,36,354,80.6,9.8,3,1,53,1,123.8,90.2,3,14,4.7,0,16
Sun 9/16,vsARI,W34-0,24,32,354,75.0,11.1,1,1,57,2,108.1,76.7,2,2,1.0,0,2
Mon 9/10,@OAK,W33-13,18,33,233,54.6,7.1,2,0,30,1,97.2,65.4,1,-1,-1.0,0,-1
Regular Season Stats,364,561,"4,688",64.9,8.4,32,12,70,33,60.4,63.6,43,108,2.5,2,16,,
