Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 11/28,vsPHI,W13-7,19,30,202,63.3,6.7,1,0,20,1,94.0,53.2,9,30,3.3,0,14
Mon 11/22,@TB,L30-10,23,38,167,60.5,4.4,1,2,28,2,57.7,22.2,3,10,3.3,0,6
Sun 11/7,vsLV,W23-16,15,20,110,75.0,5.5,1,0,30,2,104.2,45.1,4,17,4.3,0,8
Mon 11/1,@KC,L20-17,22,32,222,68.8,6.9,2,1,50,3,96.1,40.5,5,12,2.4,0,6
Sun 10/24,vsCAR,W25-3,23,33,203,69.7,6.2,1,0,27,2,95.9,42.3,8,28,3.5,0,14
Sun 10/17,vsLAR,L38-11,29,51,242,56.9,4.7,0,3,17,4,44.7,8.9,3,4,1.3,0,2
Sun 10/10,@DAL,L44-20,5,13,98,38.5,7.5,0,0,38,0,65.5,66.1,3,9,3.0,0,6
Sun 10/3,@NO,W27-21 OT,28,40,402,70.0,10.1,2,1,54,0,108.5,77.2,4,27,6.8,0,20
Sun 9/26,vsATL,L17-14,24,35,266,68.6,7.6,0,0,38,2,90.9,56.0,8,39,4.9,0,12
Thu 9/16,@WSH,L30-29,22,32,249,68.8,7.8,1,0,33,4,102.2,68.2,9,95,10.6,1,46
Sun 9/12,vsDEN,L27-13,22,37,267,59.5,7.2,1,0,42,2,90.7,54.2,6,27,4.5,1,8
Regular Season Stats,232,361,"2,428",64.3,6.7,10,7,54,22,84.8,47.5,62,298,4.8,2,46,,
