Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
Sat 1/7,@JAX,L20-16,30,109,3.6,0,14,1,1,19,19.0,0,19,0,0,0,0
Sat 12/24,vsHOU,L19-14,23,126,5.5,1,48,2,2,0,0.0,0,5,1,1,0,0
Sun 12/18,@LAC,L17-14,21,104,5.0,1,13,4,4,59,14.8,0,37,1,0,0,0
Sun 12/11,vsJAX,L36-22,17,121,7.1,1,50,3,5,34,11.3,0,16,2,2,0,0
Sun 12/4,@PHI,L35-10,11,30,2.7,0,6,2,3,8,4.0,0,6,0,0,0,0
Sun 11/27,vsCIN,L20-16,17,38,2.2,0,9,3,3,79,26.3,0,69,1,0,0,0
Thu 11/17,@GB,W27-17,28,87,3.1,1,9,2,2,45,22.5,0,42,0,0,0,0
Sun 11/13,vsDEN,W17-10,19,53,2.8,0,10,2,3,14,7.0,0,7,0,0,0,0
Sun 11/6,@KC,L20-17 OT,17,115,6.8,2,56,0,0,0,0.0,0,0,0,0,0,0
Sun 10/30,@HOU,W17-10,32,219,6.8,2,41,1,1,9,9.0,0,9,0,0,0,0
Sun 10/23,vsIND,W19-10,30,128,4.3,0,23,3,3,10,3.3,0,9,0,0,0,0
Sun 10/9,@WSH,W21-17,28,102,3.6,2,15,2,2,30,15.0,0,24,0,0,0,0
Sun 10/2,@IND,W24-17,22,114,5.2,1,19,3,5,33,11.0,0,22,0,0,0,0
Sun 9/25,vsLV,W24-22,20,85,4.3,1,24,5,6,58,11.6,0,23,0,0,0,0
Mon 9/19,@BUF,L41-7,13,25,1.9,1,9,0,0,0,0.0,0,0,0,0,0,0
Sun 9/11,vsNYG,L21-20,21,82,3.9,0,18,0,1,0,0.0,0,0,1,0,0,0
Regular Season Stats,349,"1,538",4.4,13,56,33,41,398,12.1,0,69,6,3,-,-,,
