Date,OPP,Result,CMP,ATT,YDS,CMP%,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG,TD2,LNG2
Sat 12/2,vs18OKST,W49-21,35,46,452,76.1,4,1,62,1,183.0,97.0,3,6,2.0,0,10
Dr Pepper Big 12 Championship,,,,,,,,,,,,,,,,,
Fri 11/24,vsTTU,W57-7,17,26,196,65.4,1,1,23,3,133.7,20.8,4,-13,-3.3,0,0
Sat 11/18,@ISU,W26-16,23,33,281,69.7,2,0,31,4,161.2,72.0,4,-25,-6.3,0,0
Sat 11/11,@TCU,W29-26,22,33,317,66.7,1,1,73,0,151.3,81.0,1,0,0.0,0,0
Sat 10/21,@HOU,W31-24,23,29,211,79.3,2,0,42,3,163.2,53.2,6,-7,-1.2,0,6
Sat 10/7,vs12OU,L34-30,31,37,346,83.8,1,2,39,5,160.4,76.5,8,-14,-1.8,0,6
Allstate Red River Rivalry,,,,,,,,,,,,,,,,,
Sat 9/30,vs24KU,W40-14,25,35,325,71.4,1,1,39,2,153.1,85.8,7,40,5.7,2,30
Sat 9/23,@BAY,W38-6,18,23,293,78.3,1,0,51,3,199.6,95.1,5,16,3.2,1,29
Sat 9/16,vsWYO,W31-10,11,21,131,52.4,2,0,44,1,136.2,64.6,2,-5,-2.5,1,5
Sat 9/9,@3ALA,W34-24,24,38,349,63.2,3,0,50,0,166.4,90.8,3,11,3.7,0,11
Sat 9/2,vsRICE,W37-10,19,30,260,63.3,3,0,44,3,169.1,59.1,8,12,1.5,1,16
Regular Season Stats,248,351,"3,161",70.7,21,6,73,25,162.6,78.7,51,21,0.4,5,30,,
