Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/11,vsNYG,W37-34,14,21,166,66.7,7.9,0,1,26,1,70.7,61.4,2,7,3.5,0,9
Sun 10/4,vsCLE,L49-38,41,58,502,70.7,8.7,4,1,43,3,112.9,66.8,2,12,6.0,0,11
Sun 9/27,@SEA,L38-31,37,57,472,64.9,8.3,3,2,52,2,93.6,74.4,6,26,4.3,0,9
Sun 9/20,vsATL,W40-39,34,47,450,72.3,9.6,1,0,58,1,109.4,78.8,5,18,3.6,3,11
Sun 9/13,@LAR,L20-17,25,39,266,64.1,6.8,1,0,33,3,92.5,76.2,3,30,10.0,0,12
Regular Season Stats,151,222,"1,856",68.0,8.4,9,4,58,10,60.4,73.1,18,93,5.2,3,12,,
