Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/9,@DET,L37-30,14,18,138,77.8,7.7,2,0,29,3,135.6,85.3,1,7,7.0,0,7
Sun 1/2,vsMIN,W37-10,29,38,288,76.3,7.6,2,0,30,0,114.8,74.3,2,8,4.0,0,5
Sat 12/25,vsCLE,W24-22,24,34,202,70.6,5.9,3,0,34,0,115.1,83.6,1,-1,-1.0,0,-1
Sun 12/19,@BAL,W31-30,23,31,268,74.2,8.6,3,0,31,3,132.2,86.4,4,11,2.8,0,8
Sun 12/12,vsCHI,W45-30,29,37,341,78.4,9.2,4,0,38,3,141.1,65.8,1,0,0.0,0,0
Sun 11/28,vsLAR,W36-28,28,45,307,62.2,6.8,2,0,54,1,97.2,74.8,2,0,0.0,1,1
Sun 11/21,@MIN,L34-31,23,33,385,69.7,11.7,4,0,75,2,148.4,91.7,2,21,10.5,0,18
Sun 11/14,vsSEA,W17-0,23,37,292,62.2,7.9,0,1,50,1,75.5,34.1,2,8,4.0,0,8
Thu 10/28,@ARI,W24-21,22,37,184,59.5,5.0,2,0,33,1,90.4,73.2,2,3,1.5,0,4
Sun 10/24,vsWSH,W24-10,27,35,274,77.1,7.8,3,0,26,3,127.6,82.0,2,17,8.5,0,15
Sun 10/17,@CHI,W24-14,17,23,195,73.9,8.5,2,0,41,3,128.0,79.4,7,19,2.7,1,16
Sun 10/10,@CIN,W25-22 OT,27,39,344,69.2,8.8,2,1,59,2,102.9,74.5,0,0,0.0,0,0
Sun 10/3,vsPIT,W27-17,20,36,248,55.6,6.9,2,0,28,3,95.6,61.6,3,2,0.7,1,4
Sun 9/26,@SF,W30-28,23,33,261,69.7,7.9,2,0,47,1,113.3,80.1,0,0,0.0,0,0
Mon 9/20,vsDET,W35-17,22,27,255,81.5,9.4,4,0,50,3,145.6,78.8,4,6,1.5,0,5
Sun 9/12,@NO,L38-3,15,28,133,53.6,4.8,0,2,31,1,36.8,18.8,0,0,0.0,0,0
Regular Season Stats,366,531,"4,115",68.9,7.8,37,4,75,30,111.9,74.1,33,101,3.1,3,18,,
