Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/6,@WSH,L34-13,15,28,125,53.6,4.5,1,0,19,7,77.2,8.5,3,14,4.7,0,5
Sun 9/29,@LV,L20-16,24,32,176,75.0,5.5,1,1,19,3,84.9,40.4,8,32,4.0,0,8
Sun 9/22,vsNYG,L21-15,21,37,196,56.8,5.3,2,0,24,8,89.5,25.7,4,26,6.5,0,14
Sun 9/15,@JAX,W18-13,22,34,186,64.7,5.5,0,0,30,2,78.8,28.7,5,20,4.0,1,9
Sun 9/8,vsDAL,L33-17,24,45,169,53.3,3.8,1,2,29,6,51.1,8.3,5,39,7.8,0,16
Regular Season Stats,106,176,852,60.2,4.8,5,3,30,26,74.8,21.0,25,131,5.2,1,16,,
