Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Thu 10/3,@ATL,L36-30 OT,19,24,180,79.2,7.5,3,0,23,1,137.5,82.1,6,42,7.0,0,18
Sun 9/29,vsPHI,W33-16,30,47,347,63.8,7.4,2,0,30,2,100.2,75.2,4,10,2.5,1,10
Sun 9/22,vsDEN,L26-7,25,33,163,75.8,4.9,1,1,13,7,83.3,13.5,0,0,0.0,0,0
Sun 9/15,@DET,W20-16,12,19,185,63.2,9.7,1,1,41,5,90.9,53.1,5,34,6.8,1,12
Sun 9/8,vsWSH,W37-20,24,30,289,80.0,9.6,4,0,32,1,146.4,84.7,3,21,7.0,0,11
Regular Season Stats,110,153,"1,164",71.9,7.6,11,2,41,16,112.2,64.0,18,107,5.9,2,18,,
