Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/6,vsNYG,L29-20,28,40,284,70.0,7.1,1,0,33,7,98.3,54.7,4,72,18.0,0,32
Mon 9/30,@DET,L42-29,38,56,395,67.9,7.1,1,1,29,3,86.5,63.7,5,38,7.6,0,12
Sun 9/22,vsMIA,W24-3,26,34,289,76.5,8.5,1,2,71,3,86.5,43.8,2,-2,-1.0,0,-1
Sun 9/15,@NE,W23-20 OT,33,44,327,75.0,7.4,1,0,56,3,103.1,70.9,5,8,1.6,0,5
Sun 9/8,vsDEN,W26-20,18,25,171,72.0,6.8,1,1,30,2,87.2,79.1,4,30,7.5,1,34
Regular Season Stats,143,199,"1,466",71.9,7.4,5,4,71,18,92.7,63.5,20,146,7.3,1,34,,
