Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/6,vsBUF,W23-20,28,38,331,73.7,8.7,1,1,67,1,97.6,78.4,3,27,9.0,0,13
Sun 9/29,vsJAX,W24-20,27,40,345,67.5,8.6,2,0,31,2,110.9,71.4,3,17,5.7,0,11
Sun 9/22,@MIN,L34-7,20,31,215,64.5,6.9,1,2,34,4,68.6,29.1,3,12,4.0,0,7
Sun 9/15,vsCHI,W19-13,23,36,260,63.9,7.2,1,0,28,3,94.7,63.8,1,-1,-1.0,0,-1
Sun 9/8,@IND,W29-27,24,32,234,75.0,7.3,2,0,55,4,115.9,67.7,4,13,3.3,0,13
Regular Season Stats,122,177,"1,385",68.9,7.8,7,3,67,14,98.2,64.5,14,68,4.9,0,13,,
