Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/29,@CHI,W33-28,25,39,318,64.1,8.2,2,2,48,3,60.4,55.4,1,5,5.0,0,5
Mon 11/4,vsCHI,L27-20,1,2,27,50.0,13.5,0,0,27,1,79.2,73.8,1,9,9.0,0,9
Sun 10/27,@MIN,W44-31,24,29,285,82.8,9.8,2,0,76,2,64.6,97.8,6,31,5.2,0,14
Sun 10/20,vsCLE,W31-13,25,36,260,69.4,7.2,3,0,39,1,56.3,67.6,4,12,3.0,0,5
Sun 10/13,@BAL,W19-17,17,32,315,53.1,9.8,1,1,64,3,64.6,34.8,5,21,4.2,0,12
Sun 10/6,vsDET,W22-9,20,30,274,66.7,9.1,1,0,83,1,64.6,53.6,5,8,1.6,0,6
Sun 9/22,@CIN,L34-30,26,43,244,60.5,5.7,1,2,30,4,47.9,27.3,3,24,8.0,0,18
Sun 9/15,vsWSH,W38-20,34,42,480,81.0,11.4,4,0,57,4,72.9,62.8,3,-3,-1.0,0,-1
Sun 9/8,@SF,L34-28,21,37,333,56.8,9.0,3,1,38,2,64.6,72.5,2,13,6.5,0,7
Regular Season Stats,193,290,"2,536",66.6,8.7,17,6,83,21,60.4,61.6,30,120,4.0,0,18,,
