Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 1/9,@ARI,W38-30,5,5,98,19.6,2,43,1,2,2.0,2,0,0,0,-,-
Sun 1/2,vsDET,W51-29,3,3,24,8.0,1,28,1,7,7.0,7,0,0,0,-,-
Sun 12/26,vsCHI,L25-24,3,6,30,10.0,0,15,0,0,0.0,0,0,0,0,-,-
Sun 12/12,@HOU,W33-13,5,9,142,28.4,1,55,0,0,0.0,0,0,0,0,-,-
Sun 12/5,vsSF,W30-23,7,8,68,9.7,1,16,0,0,0.0,0,0,0,0,-,-
Mon 11/29,@WSH,L17-15,3,5,96,32.0,0,55,0,0,0.0,0,0,0,0,-,-
Sun 11/21,vsARI,L23-13,4,5,115,28.8,0,48,0,0,0.0,0,0,0,0,-,-
Sun 11/14,@GB,L17-0,2,8,23,11.5,0,16,0,0,0.0,0,0,0,0,-,-
Sun 10/31,vsJAX,W31-7,12,13,142,11.8,0,28,0,0,0.0,0,0,0,0,-,-
Mon 10/25,vsNO,L13-10,2,3,12,6.0,0,7,0,0,0.0,0,0,0,0,-,-
Sun 10/17,@PIT,L23-20 OT,2,7,35,17.5,0,21,0,0,0.0,0,0,0,0,-,-
Thu 10/7,vsLAR,L26-17,5,10,57,11.4,0,25,0,0,0.0,0,0,0,0,0,0
Sun 10/3,@SF,W28-21,4,5,24,6.0,0,19,0,0,0.0,0,0,0,0,-,-
Sun 9/26,@MIN,L30-17,4,4,31,7.8,0,15,0,0,0.0,0,0,0,0,-,-
Sun 9/19,vsTEN,L33-30 OT,8,11,178,22.3,1,63,0,0,0.0,0,0,0,0,-,-
Sun 9/12,@IND,W28-16,4,5,100,25.0,2,69,0,0,0.0,0,0,0,0,-,-
Regular Season Stats,73,107,"1,175",16.1,8,69,2,9,4.5,7,0,0,0,0,0,,
