Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 1/3,vsSEA,L26-23,7,9,68,9.7,0,41,0,0,0.0,0,0,0,0,0,0
Sat 12/26,@ARI,W20-12,4,5,92,23.0,0,27,0,0,0.0,0,0,0,0,0,0
Sun 11/1,@SEA,L37-27,2,4,39,19.5,0,25,0,0,0.0,0,0,0,0,0,0
Sun 10/25,@NE,W33-6,5,7,55,11.0,0,15,0,0,0.0,0,0,0,0,0,0
Sun 10/18,vsLAR,W24-16,7,10,109,15.6,1,44,0,0,0.0,0,0,0,0,0,0
Sun 10/11,vsMIA,L43-17,4,8,44,11.0,0,12,0,0,0.0,0,0,0,0,0,0
Sun 10/4,vsPHI,L25-20,15,15,183,12.2,1,38,1,8,8.0,8,0,0,0,0,0
Sun 9/13,vsARI,L24-20,4,5,44,11.0,0,14,1,9,9.0,9,0,0,0,0,0
Regular Season Stats,48,63,634,13.2,2,44,2,17,8.5,9,0,0,0,-,-,,
