Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/7,vsDEN,W27-14,20,31,244,64.5,7.9,2,0,47,2,110.1,75.3,4,1,0.3,0,2
Sun 12/31,@IND,L23-20,30,47,299,63.8,6.4,2,0,24,2,96.0,64.5,2,3,1.5,0,3
Mon 12/25,@KC,W20-14,9,21,62,42.9,3.0,0,0,21,2,50.3,11.4,4,-4,-1.0,0,-1
Thu 12/14,vsLAC,W63-21,20,34,248,58.8,7.3,4,0,30,1,120.7,78.0,0,0,0.0,0,0
Sun 12/10,vsMIN,L3-0,21,32,171,65.6,5.3,0,1,38,4,66.0,15.6,1,2,2.0,0,2
Sun 11/26,vsKC,L31-17,23,33,248,69.7,7.5,1,0,33,1,101.6,88.8,0,0,0.0,0,0
Sun 11/19,@MIA,L20-13,24,41,271,58.5,6.6,1,3,46,2,56.0,18.6,1,3,3.0,0,3
Sun 11/12,vsNYJ,W16-12,16,27,153,59.3,5.7,1,1,42,3,72.0,40.6,2,3,1.5,0,3
Sun 11/5,vsNYG,W30-6,16,25,209,64.0,8.4,0,0,50,0,90.2,82.2,0,0,0.0,0,0
Sun 10/22,@CHI,L30-12,10,13,75,76.9,5.8,1,1,15,0,83.8,48.4,0,0,0.0,0,0
Sun 10/1,@LAC,L24-17,24,39,238,61.5,6.1,0,1,25,7,68.1,8.1,3,3,1.0,1,2
Regular Season Stats,213,343,"2,218",62.1,6.5,12,7,50,24,83.9,41.3,17,11,0.6,1,3,,
