Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/29,vsWSH,W47-16,23,33,303,69.7,9.2,4,0,48,3,138.0,65.9,3,35,11.7,0,23
Sun 12/22,@PHI,L17-9,25,44,265,56.8,6.0,0,0,41,2,74.5,39.7,1,7,7.0,0,7
Sun 12/15,vsLAR,W44-21,15,23,212,65.2,9.2,2,0,59,0,123.8,86.8,7,12,1.7,0,7
Thu 12/5,@CHI,L31-24,27,49,334,55.1,6.8,1,0,35,2,83.2,60.6,3,1,0.3,0,1
Thu 11/28,vsBUF,L26-15,32,49,355,65.3,7.2,2,1,35,4,91.8,56.8,4,25,6.3,0,10
Sun 11/24,@NE,L13-9,19,33,212,57.6,6.4,0,1,59,0,64.2,27.8,1,4,4.0,0,4
Sun 11/17,@DET,W35-27,29,46,444,63.0,9.7,3,0,49,1,116.6,74.8,6,18,3.0,0,9
Sun 11/10,vsMIN,L28-24,28,46,397,60.9,8.6,3,1,26,1,101.4,86.3,0,0,0.0,0,0
Mon 11/4,@NYG,W37-18,22,35,257,62.9,7.3,3,1,45,0,101.7,71.3,3,12,4.0,0,11
Sun 10/20,vsPHI,W37-10,21,27,239,77.8,8.9,1,1,44,3,100.5,62.7,5,30,6.0,1,8
Sun 10/13,@NYJ,L24-22,28,40,278,70.0,7.0,0,0,23,1,89.4,76.6,3,11,3.7,1,8
Sun 10/6,vsGB,L34-24,27,44,463,61.4,10.5,2,3,53,3,83.8,35.8,4,27,6.8,0,14
Sun 9/29,@NO,L12-10,22,33,223,66.7,6.8,0,1,35,1,73.2,78.0,1,7,7.0,0,7
Sun 9/22,vsMIA,W31-6,19,32,246,59.4,7.7,2,1,37,1,91.4,83.6,2,7,3.5,1,8
Sun 9/15,@WSH,W31-21,26,30,269,86.7,9.0,3,1,51,1,123.5,94.8,5,69,13.8,0,42
Sun 9/8,vsNYG,W35-17,25,32,405,78.1,12.7,4,0,62,0,158.3,94.6,4,12,3.0,0,8
Regular Season Stats,388,596,"4,902",65.1,8.2,30,11,62,23,60.4,71.9,52,277,5.3,3,42,,
