Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/29,@GB,W24-10,23,31,274,74.2,8.8,2,0,32,2,122.2,92.2,2,9,4.5,0,7
Mon 10/23,vsSF,W22-17,35,45,378,77.8,8.4,2,1,60,0,107.2,79.1,2,-1,-0.5,0,0
Sun 10/15,@CHI,W19-13,21,31,181,67.7,5.8,1,0,21,2,93.6,51.1,2,-5,-2.5,0,1
Sun 10/8,vsKC,L27-20,29,47,284,61.7,6.0,2,0,27,3,92.9,60.5,3,5,1.7,0,2
Sun 10/1,@CAR,W21-13,12,19,139,63.2,7.3,2,2,30,2,80.7,32.1,1,0,0.0,0,0
Sun 9/24,vsLAC,L28-24,32,50,367,64.0,7.3,3,1,52,4,97.7,47.8,1,10,10.0,0,10
Thu 9/14,@PHI,L34-28,31,44,364,70.5,8.3,4,0,62,2,125.6,75.8,0,0,0.0,0,0
Sun 9/10,vsTB,L20-17,33,44,344,75.0,7.8,2,1,42,2,102.8,51.5,3,7,2.3,0,4
Regular Season Stats,216,311,"2,331",69.5,7.5,18,5,62,17,103.8,64.0,14,25,1.8,0,10,,
