Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 1/7,vsLAR,L21-20,2,2,21,10.5,0,15,1,11,11.0,11,0,0,0,0,0
Sun 12/31,@WSH,W27-10,5,6,37,7.4,1,16,3,35,11.7,17,0,0,0,0,0
Mon 12/25,vsBAL,L33-19,4,12,47,11.8,0,20,2,7,3.5,6,0,0,0,0,0
Sun 12/17,@ARI,W45-29,4,7,48,12.0,2,19,1,11,11.0,11,0,0,0,0,0
Sun 12/10,vsSEA,W28-16,7,9,149,21.3,1,54,1,1,1.0,1,1,0,0,0,0
Sun 12/3,@PHI,W42-19,4,4,116,29.0,2,48,3,22,7.3,14,1,0,0,0,0
Thu 11/23,@SEA,W31-13,7,9,79,11.3,0,24,4,15,3.8,15,1,0,0,0,0
Sun 11/19,vsTB,W27-14,3,4,63,21.0,0,40,1,-1,-1.0,-1,0,0,0,0,0
Sun 11/12,@JAX,W34-3,4,4,30,7.5,0,9,3,29,9.7,23,1,0,0,0,0
Sun 10/15,@CLE,L19-17,0,1,0,0.0,0,0,2,11,5.5,8,0,0,0,0,0
Sun 10/8,vsDAL,W42-10,3,3,55,18.3,0,42,5,30,6.0,11,0,0,0,0,0
Sun 10/1,vsARI,W35-16,0,0,0,0.0,0,0,3,6,2.0,5,0,0,0,0,0
Thu 9/21,vsNYG,W30-12,6,12,129,21.5,1,40,1,2,2.0,2,0,0,0,0,0
Sun 9/17,@LAR,W30-23,6,9,63,10.5,0,23,5,38,7.6,17,1,1,0,0,0
Sun 9/10,@PIT,W30-7,5,7,55,11.0,0,22,2,8,4.0,5,0,0,0,0,0
Regular Season Stats,60,89,892,14.9,7,54,37,225,6.1,23,5,1,0,-,-,,
