Date,OPP,Result,CMP,ATT,YDS,CMP%,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG,TD2,LNG2
Sat 11/19,vsAPSU,W34-0,2,4,23,50.0,0,1,12,0,48.3,36.2,2,19,9.5,0,16
Sat 10/22,vs24MSST,W30-6,1,2,12,50.0,0,0,12,0,100.4,96.0,0,0,0.0,0,0
Sat 10/8,vsTA&M,W24-20,12,19,111,63.2,3,1,35,4,153.8,60.8,17,81,4.8,0,33
Sat 10/1,@20ARK,W49-26,4,9,65,44.4,1,0,23,0,141.8,98.7,6,91,15.2,1,77
Sat 9/24,vsVAN,W55-3,4,6,10,66.7,0,0,5,0,80.7,71.8,2,20,10.0,0,28
Sat 9/17,vsULM,W63-7,0,2,0,0.0,0,0,0,0,0.0,93.1,2,42,21.0,0,25
Sat 9/3,vsUSU,W55-0,8,10,76,80.0,1,1,18,0,156.8,62.7,2,10,5.0,0,7
Regular Season Stats,31,52,297,59.6,5,3,35,4,127.8,81.9,31,263,8.5,1,77,,
