Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/3,@DET,W37-35,28,40,405,70.0,10.1,3,0,40,3,127.6,61.7,5,1,0.2,1,4
Fri 12/25,@NO,L52-33,27,41,291,65.9,7.1,3,0,25,2,110.9,62.7,0,0,0.0,0,0
Sun 12/20,vsCHI,L33-27,24,35,271,68.6,7.7,2,1,30,3,98.6,61.6,3,25,8.3,0,10
Sun 12/13,@TB,L26-14,24,37,225,64.9,6.1,1,0,25,6,90.5,55.1,5,41,8.2,0,13
Sun 12/6,vsJAX,W27-24 OT,28,43,305,65.1,7.1,3,1,40,4,99.5,21.1,3,12,4.0,0,10
Sun 11/29,vsCAR,W28-27,34,45,307,75.6,6.8,3,0,25,2,115.7,73.4,3,19,6.3,0,11
Sun 11/22,vsDAL,L31-28,22,30,314,73.3,10.5,3,0,51,2,140.1,75.1,1,4,4.0,0,4
Mon 11/16,@CHI,W19-13,25,36,292,69.4,8.1,2,1,54,1,100.7,79.2,1,-1,-1.0,0,-1
Sun 11/8,vsDET,W34-20,13,20,220,65.0,11.0,3,0,35,1,141.7,73.9,0,0,0.0,0,0
Sun 11/1,@GB,W28-22,11,14,160,78.6,11.4,1,0,50,1,138.1,79.0,0,0,0.0,0,0
Sun 10/18,vsATL,L40-23,24,36,343,66.7,9.5,3,3,49,1,90.4,24.1,0,0,0.0,0,0
Sun 10/11,@SEA,L27-26,27,39,249,69.2,6.4,2,1,25,3,92.8,60.0,1,2,2.0,0,2
Sun 10/4,@HOU,W31-23,16,22,260,72.7,11.8,1,0,39,3,127.1,55.7,4,5,1.3,0,5
Sun 9/27,vsTEN,L31-30,16,27,251,59.3,9.3,3,2,71,2,96.4,44.9,2,14,7.0,0,14
Sun 9/20,@IND,L28-11,11,26,113,42.3,4.3,0,3,24,3,15.9,6.6,0,0,0.0,0,0
Sun 9/13,vsGB,L43-34,19,25,259,76.0,10.4,2,1,37,2,118.6,57.8,4,34,8.5,0,16
Regular Season Stats,349,516,"4,265",67.6,8.3,35,13,71,39,60.4,55.8,32,156,4.9,1,16,,
