Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/3,vsTEN,L41-38,28,39,365,71.8,9.4,3,1,42,4,115.9,53.7,3,12,4.0,0,7
Sun 12/27,vsCIN,L37-31,24,33,324,72.7,9.8,3,0,50,1,133.9,63.2,5,38,7.6,0,14
Sun 12/20,@IND,L27-20,33,41,373,80.5,9.1,2,0,38,5,120.8,75.2,6,25,4.2,0,9
Sun 12/13,@CHI,L36-7,21,30,219,70.0,7.3,1,0,48,6,101.9,52.1,7,38,5.4,0,14
Sun 12/6,vsIND,L26-20,26,38,341,68.4,9.0,0,1,64,5,85.5,33.9,7,38,5.4,1,11
Thu 11/26,@DET,W41-25,17,25,318,68.0,12.7,4,0,40,2,150.4,84.0,8,24,3.0,0,12
Sun 11/22,vsNE,W27-20,28,37,344,75.7,9.3,2,0,44,0,121.9,83.9,6,36,6.0,1,11
Sun 11/15,@CLE,L10-7,20,30,163,66.7,5.4,1,0,29,2,91.4,42.9,8,36,4.5,0,9
Sun 11/8,@JAX,W27-25,19,32,281,59.4,8.8,2,0,77,2,109.0,61.9,10,50,5.0,0,16
Sun 10/25,vsGB,L35-20,29,39,309,74.4,7.9,2,0,30,3,114.2,62.2,7,38,5.4,0,14
Sun 10/18,@TEN,L42-36 OT,28,37,335,75.7,9.1,4,0,53,2,138.9,91.5,4,26,6.5,0,11
Sun 10/11,vsJAX,W30-14,25,35,359,71.4,10.3,3,2,44,1,109.1,70.8,2,25,12.5,0,14
Sun 10/4,vsMIN,L31-23,20,33,300,60.6,9.1,2,0,43,3,110.7,30.5,5,9,1.8,0,5
Sun 9/27,@PIT,L28-21,19,27,264,70.4,9.8,2,1,34,5,110.7,81.4,1,5,5.0,0,5
Sun 9/20,vsBAL,L33-16,25,36,275,69.4,7.6,1,1,38,4,89.5,50.7,5,17,3.4,0,8
Thu 9/10,@KC,L34-20,20,32,253,62.5,7.9,1,1,31,4,84.5,38.7,6,27,4.5,1,13
Regular Season Stats,382,544,"4,823",70.2,8.9,33,7,77,49,60.4,63.7,90,444,4.9,3,16,,
