Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
Sun 1/1,vsHOU,W24-17,15,65,4.3,1,14,1,1,3,3.0,0,3,0,0,0,0
Sat 12/24,@JAX,L38-17,4,13,3.3,0,10,2,2,22,11.0,0,11,0,0,0,0
Sun 12/18,@KC,W19-17,9,58,6.4,2,15,0,0,0,0.0,0,0,0,0,0,0
Sun 12/11,vsDEN,W13-10,12,42,3.5,0,6,1,1,5,5.0,0,5,0,0,0,0
Sun 11/27,@CHI,W27-21,8,60,7.5,1,17,0,0,0,0.0,0,0,0,0,0,0
Sun 11/20,@IND,L24-17,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sun 11/13,vsGB,W47-25,9,31,3.4,0,19,0,0,0,0.0,0,0,0,0,0,0
Thu 10/27,vsJAX,W36-22,16,60,3.8,1,15,4,5,37,9.3,0,15,0,0,0,0
Sun 10/23,vsIND,L34-26,1,3,3.0,0,3,0,1,0,0.0,0,0,0,0,0,0
Sun 10/16,vsCLE,W28-26,2,7,3.5,0,4,2,2,20,10.0,0,12,0,0,0,0
Sun 10/9,@MIA,W30-17,7,54,7.7,0,22,0,0,0,0.0,0,0,0,0,0,0
Sun 10/2,@HOU,L27-20,3,9,3.0,0,6,0,0,0,0.0,0,0,0,0,0,0
Sun 9/25,vsOAK,L17-10,10,45,4.5,0,13,0,0,0,0.0,0,0,0,0,0,0
Sun 9/18,@DET,W16-15,9,40,4.4,0,9,1,1,9,9.0,0,9,0,0,0,0
Sun 9/11,vsMIN,L25-16,5,3,0.6,0,5,2,2,41,20.5,0,29,0,0,0,0
Regular Season Stats,110,490,4.5,5,22,13,15,137,10.5,0,29,0,0,-,-,,
