Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/3,vsPIT,W24-22,17,27,196,63.0,7.3,1,0,42,4,97.1,77.4,6,44,7.3,0,28
Sun 12/27,@NYJ,L23-16,28,53,285,52.8,5.4,0,0,28,4,68.5,15.6,3,6,2.0,0,4
Sun 12/20,@NYG,W20-6,27,32,297,84.4,9.3,2,0,22,1,126.2,97.7,4,11,2.8,0,5
Mon 12/14,vsBAL,L47-42,28,47,343,59.6,7.3,2,1,37,0,87.5,78.9,5,23,4.6,1,7
Sun 12/6,@TEN,W41-35,25,33,334,75.8,10.1,4,0,75,0,147.0,82.4,4,5,1.3,0,3
Sun 11/29,@JAX,W27-25,19,29,258,65.5,8.9,2,0,27,2,116.7,87.2,4,1,0.3,0,4
Sun 11/22,vsPHI,W22-17,12,22,204,54.6,9.3,0,0,43,3,86.2,18.6,6,9,1.5,0,7
Sun 11/15,vsHOU,W10-7,12,20,132,60.0,6.6,0,0,21,1,79.6,29.7,3,1,0.3,0,3
Sun 11/1,vsLV,L16-6,12,25,122,48.0,4.9,0,0,25,0,62.4,30.5,6,29,4.8,0,10
Sun 10/25,@CIN,W37-34,22,28,297,78.6,10.6,5,1,35,0,135.6,96.6,1,-1,-1.0,0,-1
Sun 10/18,@PIT,L38-7,10,18,119,55.6,6.6,1,2,36,4,54.9,5.9,1,5,5.0,0,5
Sun 10/11,vsIND,W32-23,21,37,247,56.8,6.7,2,2,32,1,72.7,77.3,2,17,8.5,0,16
Sun 10/4,@DAL,W49-38,19,30,165,63.3,5.5,2,0,16,2,100.0,60.2,3,6,2.0,0,8
Sun 9/27,vsWSH,W34-20,16,23,156,69.6,6.8,2,0,18,2,117.3,67.7,1,1,1.0,0,1
Thu 9/17,vsCIN,W35-30,16,23,219,69.6,9.5,2,1,43,0,110.6,97.6,3,5,1.7,0,8
Sun 9/13,@BAL,L38-6,21,39,189,53.9,4.8,1,1,28,2,65.0,33.2,2,3,1.5,0,4
Regular Season Stats,305,486,"3,563",62.8,7.3,26,8,75,26,56.3,65.5,54,165,3.1,1,28,,
