Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/2,vsKC,W34-31,30,39,446,76.9,11.4,4,0,72,4,148.0,67.7,5,10,2.0,0,4
Sun 12/26,vsBAL,W41-21,37,46,525,80.4,11.4,4,0,68,3,143.2,91.4,2,11,5.5,0,12
Sun 12/19,@DEN,W15-10,15,22,157,68.2,7.1,1,0,56,3,103.8,53.2,5,25,5.0,0,8
Sun 12/12,vsSF,L26-23 OT,25,34,348,73.5,10.2,2,0,32,5,125.6,61.2,2,3,1.5,0,4
Sun 12/5,vsLAC,L41-22,24,40,300,60.0,7.5,1,2,32,6,70.8,37.4,1,6,6.0,1,6
Sun 11/28,vsPIT,W41-10,20,24,190,83.3,7.9,1,1,32,2,96.2,84.6,1,8,8.0,1,8
Sun 11/21,@LV,W32-13,20,29,148,69.0,5.1,1,0,17,3,92.3,55.7,3,11,3.7,0,6
Sun 11/7,vsCLE,L41-16,28,40,282,70.0,7.1,0,2,20,5,69.0,25.7,2,1,0.5,0,1
Sun 10/31,@NYJ,L34-31,21,34,259,61.8,7.6,3,1,54,3,102.5,31.7,1,-1,-1.0,0,-1
Sun 10/24,@BAL,W41-17,23,38,416,60.5,10.9,3,1,82,1,113.5,81.1,1,0,0.0,0,0
Sun 10/17,@DET,W34-11,19,29,271,65.5,9.3,3,1,53,2,115.7,63.1,5,20,4.0,0,6
Sun 10/10,vsGB,L25-22 OT,26,38,281,68.4,7.4,2,2,70,3,85.5,59.4,3,11,3.7,0,9
Thu 9/30,vsJAX,W24-21,25,32,348,78.1,10.9,2,0,44,1,132.8,73.9,3,4,1.3,0,4
Sun 9/26,@PIT,W24-10,14,18,172,77.8,9.6,3,1,34,0,122.9,77.5,5,7,1.4,0,8
Sun 9/19,@CHI,L20-17,19,30,207,63.3,6.9,2,3,42,5,66.3,18.1,0,0,0.0,0,0
Sun 9/12,vsMIN,W27-24 OT,20,27,261,74.1,9.7,2,0,50,5,128.8,69.7,1,2,2.0,0,2
Regular Season Stats,366,520,"4,611",70.4,8.9,34,14,82,51,108.3,60.2,40,118,3.0,2,12,,
