Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/3,vsDAL,W23-19,17,25,229,68.0,9.2,2,1,33,2,106.9,27.5,9,17,1.9,0,11
Sun 12/27,@BAL,L27-13,24,41,252,58.5,6.1,1,0,20,6,84.6,37.8,1,3,3.0,0,3
Sun 12/13,vsARI,L26-7,11,21,127,52.4,6.0,0,0,39,6,70.9,6.9,0,0,0.0,0,0
Sun 11/29,@CIN,W19-17,16,27,213,59.3,7.9,0,0,53,0,84.3,80.9,6,19,3.2,0,7
Sun 11/15,vsPHI,W27-17,21,28,244,75.0,8.7,0,0,40,3,100.9,89.1,9,64,7.1,1,34
Sun 11/8,@WSH,W23-20,23,34,212,67.6,6.2,1,0,50,5,94.2,46.9,6,4,0.7,0,5
Mon 11/2,vsTB,L25-23,25,41,256,61.0,6.2,2,2,30,3,74.8,47.0,3,20,6.7,0,15
Thu 10/22,@PHI,L22-21,20,30,187,66.7,6.2,2,1,39,3,91.9,72.6,4,92,23.0,0,80
Sun 10/18,vsWSH,W20-19,12,19,112,63.2,5.9,1,1,23,1,74.9,83.3,7,74,10.6,0,49
Sun 10/11,@DAL,L37-34,20,33,222,60.6,6.7,0,0,39,2,80.6,59.5,2,-7,-3.5,0,-1
Sun 10/4,@LAR,L17-9,23,36,190,63.9,5.3,0,1,33,5,65.7,45.4,6,45,7.5,0,13
Sun 9/27,vsSF,L36-9,17,32,179,53.1,5.6,0,1,29,2,56.6,48.6,5,49,9.8,0,23
Sun 9/20,@CHI,L17-13,25,40,241,62.5,6.0,0,1,24,4,68.9,29.7,3,21,7.0,0,12
Mon 9/14,vsPIT,L26-16,26,41,279,63.4,6.8,2,2,41,3,79.2,58.6,4,22,5.5,0,13
Regular Season Stats,280,448,"2,943",62.5,6.6,11,10,53,45,52.1,54.0,65,423,6.5,1,80,,
