Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 12/31,@WSH,W27-10,3,4,29,9.7,0,18,0,0,0.0,0,0,0,0,0,0
Mon 12/25,vsBAL,L33-19,7,10,126,18.0,0,58,0,0,0.0,0,0,0,0,0,0
Sun 12/17,@ARI,W45-29,2,4,54,27.0,0,35,0,0,0.0,0,0,0,0,0,0
Sun 12/10,vsSEA,W28-16,3,5,76,25.3,1,44,0,0,0.0,0,0,0,0,0,0
Sun 12/3,@PHI,W42-19,4,6,68,17.0,0,32,0,0,0.0,0,0,0,0,0,0
Thu 11/23,@SEA,W31-13,3,5,19,6.3,0,11,0,0,0.0,0,0,0,0,0,0
Sun 11/19,vsTB,W27-14,8,9,89,11.1,1,24,0,0,0.0,0,0,0,0,0,0
Sun 11/12,@JAX,W34-3,3,4,116,38.7,1,66,0,0,0.0,0,0,0,0,0,0
Sun 10/29,vsCIN,L31-17,9,11,149,16.6,0,34,0,0,0.0,0,0,0,0,0,0
Mon 10/23,@MIN,L22-17,5,7,78,15.6,0,28,1,2,2.0,2,0,0,0,0,0
Sun 10/15,@CLE,L19-17,1,2,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0
Sun 10/8,vsDAL,W42-10,3,4,67,22.3,3,38,0,0,0.0,0,0,0,0,0,0
Sun 10/1,vsARI,W35-16,1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0
Thu 9/21,vsNYG,W30-12,7,9,90,12.9,0,29,0,0,0.0,0,0,0,0,0,0
Sun 9/17,@LAR,W30-23,3,3,30,10.0,0,12,0,0,0.0,0,0,0,0,0,0
Sun 9/10,@PIT,W30-7,3,6,19,6.3,0,11,0,0,0.0,0,0,0,0,0,0
Regular Season Stats,65,90,"1,020",15.7,6,66,1,2,2.0,2,0,0,0,0,0,,
