Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/31,vsMIA,W56-19,18,21,321,85.7,15.3,5,0,75,1,158.3,95.4,6,35,5.8,0,18
Mon 12/25,@SF,W33-19,23,35,252,65.7,7.2,2,0,39,2,105.9,85.2,7,45,6.4,0,30
Sun 12/17,@JAX,W23-7,14,24,171,58.3,7.1,1,1,26,3,76.9,70.5,12,97,8.1,0,21
Sun 12/10,vsLAR,W37-31 OT,24,43,316,55.8,7.3,3,1,54,2,92.8,71.1,11,70,6.4,0,16
Sun 11/26,@LAC,W20-10,18,32,177,56.3,5.5,1,0,21,2,82.4,38.9,11,39,3.5,0,8
Thu 11/16,vsCIN,W34-20,16,26,264,61.5,10.2,2,0,51,3,121.3,71.5,9,54,6.0,0,8
Sun 11/12,vsCLE,L33-31,13,23,223,56.5,9.7,1,2,40,3,67.8,50.8,8,41,5.1,0,9
Sun 11/5,vsSEA,W37-3,21,26,187,80.8,7.2,0,0,17,1,96.6,72.4,10,60,6.0,0,23
Sun 10/29,@ARI,W31-24,18,27,157,66.7,5.8,1,0,29,4,94.2,36.9,5,17,3.4,0,13
Sun 10/22,vsDET,W38-6,21,27,357,77.8,13.2,3,0,80,0,155.8,93.3,9,36,4.0,1,10
Sun 10/15,vsTEN,W24-16,21,30,223,70.0,7.4,1,1,38,1,88.6,60.7,13,62,4.8,0,12
NFL London Games,,,,,,,,,,,,,,,,,,
Sun 10/8,@PIT,L17-10,22,38,236,57.9,6.2,0,1,30,4,65.2,46.7,6,45,7.5,0,26
Sun 10/1,@CLE,W28-3,15,19,186,79.0,9.8,2,0,43,3,142.5,65.9,9,27,3.0,2,10
Sun 9/24,vsIND,L22-19 OT,22,31,202,71.0,6.5,0,0,24,4,88.4,61.3,14,101,7.2,2,16
Sun 9/17,@CIN,W27-24,24,33,237,72.7,7.2,2,0,52,0,112.8,85.8,12,54,4.5,0,12
Sun 9/10,vsHOU,W25-9,17,22,169,77.3,7.7,0,1,29,4,79.5,11.6,6,38,6.3,0,14
Regular Season Stats,307,457,"3,678",67.2,8.0,24,7,80,37,102.7,65.4,148,821,5.5,5,30,,
