Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
Sun 1/3,@HOU,W41-38,34,250,7.4,2,52,0,0,0,0.0,0,0,2,1,-,-
Sun 12/27,@GB,L40-14,23,98,4.3,0,10,0,0,0,0.0,0,0,0,0,0,0
Sun 12/20,vsDET,W46-25,24,147,6.1,1,33,2,2,5,2.5,0,6,0,0,0,0
Sun 12/13,@JAX,W31-10,26,215,8.3,2,47,2,2,7,3.5,0,6,0,0,0,0
Sun 12/6,vsCLE,L41-35,15,60,4.0,0,10,1,1,9,9.0,0,9,1,1,0,0
Sun 11/29,@IND,W45-26,27,178,6.6,3,31,2,4,7,3.5,0,4,0,0,0,0
Sun 11/22,@BAL,W30-24 OT,28,133,4.8,1,29,1,2,-1,-1.0,0,0,0,0,0,0
Thu 11/12,vsIND,L34-17,19,103,5.4,0,20,1,2,6,6.0,0,6,0,0,0,0
Sun 11/8,vsCHI,W24-17,21,68,3.2,0,26,0,0,0,0.0,0,0,0,0,0,0
Sun 11/1,@CIN,L31-20,18,112,6.2,1,21,0,1,0,0.0,0,0,0,0,0,0
Sun 10/25,vsPIT,L27-24,20,75,3.8,1,17,2,2,-3,-1.5,0,-1,0,0,0,0
Sun 10/18,vsHOU,W42-36 OT,22,212,9.6,2,94,2,5,52,26.0,0,53,0,0,0,0
Tue 10/13,vsBUF,W42-16,19,57,3.0,2,12,1,2,6,6.0,0,6,0,0,0,0
Sun 9/27,@MIN,W31-30,26,119,4.6,2,16,2,3,11,5.5,0,6,0,0,0,0
Sun 9/20,vsJAX,W33-30,25,84,3.4,0,14,0,2,0,0.0,0,0,0,0,0,0
Mon 9/14,@DEN,W16-14,31,116,3.7,0,13,3,3,15,5.0,0,6,0,0,-,-
Regular Season Stats,378,"2,027",5.4,17,94,19,31,114,6.0,0,53,3,2,0,0,,
