Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/31,@BAL,W31-27,23,44,222,52.3,5.0,3,0,49,1,89.4,74.6,2,-2,-1.0,0,-1
Sun 12/24,vsDET,W26-17,27,41,238,65.9,5.8,1,1,34,3,79.1,41.6,3,-1,-0.3,0,1
Sun 12/17,@MIN,L34-7,11,22,113,50.0,5.1,0,2,45,3,27.3,5.4,0,0,0.0,0,0
Sun 12/10,vsCHI,L33-7,14,29,141,48.3,4.9,1,1,20,2,59.7,26.0,0,0,0.0,0,0
Mon 12/4,vsPIT,L23-20,21,36,234,58.3,6.5,2,0,27,2,96.3,69.4,2,19,9.5,0,11
Sun 11/26,vsCLE,W30-16,18,28,214,64.3,7.6,2,0,36,1,111.3,49.6,4,26,6.5,0,25
Sun 11/19,@DEN,W20-17,15,25,154,60.0,6.2,3,0,29,2,117.3,82.6,3,4,1.3,0,6
Sun 11/12,@TEN,L24-20,20,35,265,57.1,7.6,2,0,70,1,100.3,33.2,1,0,0.0,0,0
Sun 11/5,@JAX,L23-7,10,18,136,55.6,7.6,0,0,59,2,79.9,54.5,3,-1,-0.3,0,1
Sun 10/29,vsIND,W24-23,17,29,243,58.6,8.4,2,0,67,3,108.8,55.9,3,10,3.3,0,12
Sun 10/22,@PIT,L29-14,17,30,140,56.7,4.7,2,2,22,4,63.2,19.3,3,8,2.7,0,8
Sun 10/8,vsBUF,W20-16,22,36,328,61.1,9.1,1,2,77,1,77.1,66.4,5,2,0.4,0,6
Sun 10/1,@CLE,W31-7,25,30,286,83.3,9.5,4,0,61,3,146.0,87.6,4,29,7.3,0,12
Sun 9/24,@GB,L27-24 OT,21,27,212,77.8,7.9,2,0,21,3,124.1,48.2,2,-2,-1.0,0,-1
Thu 9/14,vsHOU,L13-9,20,35,224,57.1,6.4,0,0,50,3,76.4,22.2,2,5,2.5,0,3
Sun 9/10,vsBAL,L20-0,16,31,170,51.6,5.5,0,4,39,5,28.4,1.0,1,2,2.0,0,2
Regular Season Stats,297,496,"3,320",59.9,6.7,25,12,77,39,52.1,44.6,38,99,2.6,0,25,,
