Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/3,@ARI,W33-7,21,26,235,80.8,9.0,1,0,51,0,117.1,98.6,2,2,1.0,1,1
Sun 12/27,vsSEA,W48-10,12,23,237,52.2,10.3,1,0,40,1,103.0,64.5,1,9,9.0,0,9
Sun 12/20,@PIT,L37-36,26,48,383,54.2,8.0,3,0,83,1,101.3,84.0,3,22,7.3,1,14
Sun 12/13,@CHI,W21-14,16,24,180,66.7,7.5,0,0,25,3,88.9,48.1,3,6,2.0,0,9
Mon 12/7,vsBAL,W27-14,26,40,263,65.0,6.6,3,2,29,1,87.8,75.8,4,30,7.5,0,23
Thu 11/26,@DET,W34-12,28,39,348,71.8,8.9,3,0,68,1,124.7,84.4,1,5,5.0,0,5
Sun 11/22,vsSF,W30-24,32,45,344,71.1,7.6,2,0,64,2,108.0,68.9,7,13,1.9,0,11
Sun 11/15,vsDAL,W17-7,25,36,189,69.4,5.3,1,0,24,4,91.1,44.5,5,15,3.0,1,11
Sun 11/8,@TB,L38-28,17,35,266,48.6,7.6,2,3,74,6,57.6,51.0,3,26,8.7,1,12
Sun 11/1,vsMIN,L38-26,26,41,287,63.4,7.0,3,0,42,6,108.5,82.4,5,52,10.4,0,35
Sun 10/25,@CLE,W31-3,15,20,246,75.0,12.3,3,0,71,0,155.4,94.9,4,23,5.8,0,19
Sun 10/18,vsDET,W26-0,29,37,358,78.4,9.7,2,1,47,5,113.7,67.4,3,9,3.0,0,10
Mon 10/5,@MIN,L30-23,26,37,384,70.3,10.4,2,1,62,8,110.6,47.7,2,16,8.0,0,11
Sun 9/27,@STL,W36-17,13,23,269,56.5,11.7,2,0,53,2,126.9,-,8,38,4.8,1,12
Sun 9/20,vsCIN,L31-24,21,39,261,53.8,6.7,1,0,26,6,83.4,49.4,4,43,10.8,0,16
Sun 9/13,vsCHI,W21-15,17,28,184,60.7,6.6,1,0,50,4,92.0,29.1,3,7,2.3,0,9
Regular Season Stats,350,541,"4,434",64.7,8.2,30,7,83,50,103.2,69.1,58,316,5.4,5,35,,
