Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 1/8,vsARI,W38-13,4,6,29,7.3,2,15,0,0,0.0,0,0,0,0,0,0
Sun 1/1,@LV,W37-34 OT,4,8,23,5.8,1,9,0,0,0.0,0,0,0,0,0,0
Sat 12/24,vsWSH,W37-20,6,8,120,20.0,2,34,0,0,0.0,0,0,0,0,0,0
Thu 12/15,@SEA,W21-13,4,5,93,23.3,2,54,0,0,0.0,0,0,0,0,0,0
Sun 12/11,vsTB,W35-7,4,5,28,7.0,0,15,0,0,0.0,0,0,0,0,0,0
Sun 12/4,vsMIA,W33-17,2,3,22,11.0,0,19,0,0,0.0,0,0,0,0,0,0
Sun 11/27,vsNO,W13-0,3,4,26,8.7,0,14,0,0,0.0,0,0,0,0,0,0
Mon 11/21,vsARI,W38-10,4,6,84,21.0,2,39,0,0,0.0,0,0,0,0,0,0
Sun 11/13,vsLAC,W22-16,1,2,21,21.0,0,21,0,0,0.0,0,0,0,0,0,0
Sun 10/30,@LAR,W31-14,3,5,39,13.0,1,23,0,0,0.0,0,0,0,0,0,0
Sun 10/23,vsKC,L44-23,6,9,98,16.3,1,34,0,0,0.0,0,0,0,0,0,0
Sun 10/16,@ATL,L28-14,8,10,83,10.4,0,19,0,0,0.0,0,0,0,0,1,0
Sun 10/9,@CAR,W37-15,5,6,47,9.4,0,20,0,0,0.0,0,0,1,1,0,0
Mon 10/3,vsLAR,W24-9,2,4,24,12.0,0,20,0,0,0.0,0,0,0,0,0,0
Sun 9/25,@DEN,L11-10,4,5,28,7.0,0,11,0,0,0.0,0,0,0,0,0,0
Regular Season Stats,60,86,765,12.8,11,54,0,0,0.0,0,0,1,1,1,0,,
