Date,OPP,Result,CAR,YDS,AVG,TD,LNG,REC,TGTS,YDS2,AVG2,TD2,LNG2,FUM,LST,FF,KB
Sun 12/29,@HOU,W35-14,32,211,6.6,3,53,0,0,0,0.0,0,0,0,0,0,0
Sun 12/15,vsHOU,L24-21,21,86,4.1,0,23,0,1,0,0.0,0,0,0,0,0,0
Sun 12/8,@OAK,W42-21,18,103,5.7,2,24,1,1,6,6.0,0,6,0,0,0,0
Sun 12/1,@IND,W31-17,26,149,5.7,1,34,3,3,17,5.7,0,9,1,1,0,0
Sun 11/24,vsJAX,W42-20,19,159,8.4,2,74,1,1,16,16.0,0,16,1,1,0,0
Sun 11/10,vsKC,W35-32,23,188,8.2,2,68,2,2,3,1.5,0,6,0,0,0,0
Sun 11/3,@CAR,L30-20,13,63,4.8,1,12,3,3,36,12.0,1,23,0,0,0,0
Sun 10/27,vsTB,W27-23,16,75,4.7,0,34,1,1,8,8.0,0,8,1,1,0,0
Sun 10/20,vsLAC,W23-20,22,90,4.1,1,12,1,1,18,18.0,0,18,0,0,0,0
Sun 10/13,@DEN,L16-0,15,28,1.9,0,6,1,3,5,5.0,0,5,0,0,0,0
Sun 10/6,vsBUF,L14-7,20,78,3.9,1,24,0,0,0,0.0,0,0,0,0,0,0
Sun 9/29,@ATL,W24-10,27,100,3.7,0,16,1,1,8,8.0,0,8,1,0,0,0
Thu 9/19,@JAX,L20-7,17,44,2.6,1,11,1,2,2,2.0,0,2,0,0,0,0
Sun 9/15,vsIND,L19-17,15,82,5.5,1,18,2,3,12,6.0,0,9,1,0,0,0
Sun 9/8,@CLE,W43-13,19,84,4.4,1,18,1,2,75,75.0,1,75,0,0,0,0
Regular Season Stats,303,"1,540",5.1,16,74,18,24,206,11.4,2,75,5,3,0,0,,
