Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/9,vsGB,W37-30,21,30,238,70.0,7.9,2,0,36,1,115.7,83.6,0,0,0.0,0,0
Sun 12/19,vsARI,W30-12,21,26,216,80.8,8.3,3,0,37,2,139.7,93.8,0,0,0.0,0,0
Sun 12/12,@DEN,L38-10,24,39,215,61.5,5.5,1,1,20,2,74.2,42.7,2,10,5.0,0,13
Sun 12/5,vsMIN,W29-27,25,41,296,61.0,7.2,3,1,28,3,97.2,55.9,2,1,0.5,0,1
Thu 11/25,vsCHI,L16-14,21,25,171,84.0,6.8,2,0,39,1,121.8,65.1,0,0,0.0,0,0
Sun 11/14,@PIT,T16-16 OT,14,25,114,56.0,4.6,0,0,30,4,67.8,18.5,0,0,0.0,0,0
Sun 10/31,vsPHI,L44-6,25,34,222,73.5,6.5,0,0,34,5,90.6,18.1,0,0,0.0,0,0
Sun 10/24,@LAR,L28-19,22,36,268,61.1,7.4,1,2,63,2,70.1,47.7,1,3,3.0,0,3
Sun 10/17,vsCIN,L34-11,28,42,202,66.7,4.8,0,1,33,1,67.8,15.3,1,1,1.0,0,1
Sun 10/10,@MIN,L19-17,21,35,203,60.0,5.8,0,1,21,4,64.3,25.3,0,0,0.0,0,0
Sun 10/3,@CHI,L24-14,24,38,299,63.2,7.9,2,0,33,4,105.0,34.0,3,8,2.7,0,6
Sun 9/26,vsBAL,L19-17,22,30,217,73.3,7.2,0,0,24,2,93.3,46.8,1,4,4.0,0,4
Mon 9/20,@GB,L35-17,26,36,246,72.2,6.8,2,1,46,1,97.7,61.8,4,46,11.5,0,26
Sun 9/12,vsSF,L41-33,38,57,338,66.7,5.9,3,1,43,3,92.6,32.1,3,14,4.7,0,10
Regular Season Stats,332,494,"3,245",67.2,6.6,19,8,63,35,91.5,45.5,17,87,5.1,0,26,,
