Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sat 12/24,vsARI,L34-31,2,3,38,19.0,0,28,0,0,0.0,0,0,0,0,0,0
Thu 12/15,vsLAR,W24-3,7,8,130,18.6,1,57,0,0,0.0,0,0,0,0,0,0
Sun 12/11,@GB,L38-10,4,6,41,10.3,0,15,2,15,7.5,13,0,0,0,0,0
Sun 12/4,vsCAR,W40-7,5,6,63,12.6,0,40,1,75,75.0,75,1,0,0,0,0
Sun 11/27,@TB,L14-5,0,6,0,0.0,0,0,1,9,9.0,9,0,0,0,0,0
Sun 11/20,vsPHI,W26-15,2,3,39,19.5,0,30,0,0,0.0,0,0,0,0,0,0
Sun 11/13,@NE,W31-24,3,6,72,24.0,0,36,0,0,0.0,0,0,0,0,0,0
Mon 11/7,vsBUF,W31-25,1,2,17,17.0,0,17,1,13,13.0,13,0,0,0,-,-
Sun 10/30,@NO,L25-20,4,4,32,8.0,0,10,0,0,0.0,0,0,0,0,0,0
Sun 10/23,@ARI,T6-6 OT,2,2,13,6.5,0,8,0,0,0.0,0,0,0,0,0,0
Sun 10/16,vsATL,W26-24,3,5,23,7.7,0,10,1,2,2.0,2,0,0,0,0,0
Sun 10/2,@NYJ,W27-17,1,3,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0
Sun 9/25,vsSF,W37-18,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
Sun 9/18,@LAR,L9-3,4,4,99,24.8,0,53,0,0,0.0,0,0,0,0,0,0
Sun 9/11,vsMIA,W12-10,3,8,17,5.7,0,6,0,0,0.0,0,0,0,0,0,0
Regular Season Stats,41,67,597,14.6,1,57,6,114,19.0,75,1,0,0,-,-,,
