Date,OPP,Result,REC,TGTS,YDS,AVG,TD,LNG,CAR,YDS2,AVG2,LNG2,TD2,FUM,LST,FF,KB
Sun 12/29,vsSF,L26-21,6,7,51,8.5,1,14,0,0,0.0,0,0,1,0,0,0
Sun 12/22,vsARI,L27-13,1,7,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0
Sun 12/15,@CAR,W30-24,8,9,120,15.0,1,44,0,0,0.0,0,0,0,0,0,0
Sun 12/8,@LAR,L28-12,4,6,43,10.8,0,19,0,0,0.0,0,0,0,0,0,0
Mon 12/2,vsMIN,W37-30,0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-
Sun 11/24,@PHI,W17-9,1,2,38,38.0,0,38,0,0,0.0,0,0,0,0,0,0
Mon 11/11,@SF,W27-24 OT,3,4,26,8.7,0,13,1,3,3.0,3,0,0,0,-,-
Sun 11/3,vsTB,W40-34 OT,13,18,152,11.7,2,30,0,0,0.0,0,0,0,0,0,0
Sun 10/27,@ATL,W27-20,6,6,100,16.7,0,20,0,0,0.0,0,0,0,0,0,0
Sun 10/20,vsBAL,L30-16,5,7,61,12.2,1,33,1,-3,-3.0,-3,0,0,0,0,0
Sun 10/13,@CLE,W32-28,5,5,75,15.0,0,22,1,3,3.0,3,0,0,0,0,0
Thu 10/3,vsLAR,W30-29,4,4,51,12.8,1,17,1,-8,-8.0,-8,0,0,0,0,0
Sun 9/29,@ARI,W27-10,4,4,51,12.8,0,28,0,0,0.0,0,0,0,0,0,0
Sun 9/22,vsNO,L33-27,11,14,154,14.0,1,40,0,0,0.0,0,0,0,0,0,0
Sun 9/15,@PIT,W28-26,10,12,79,7.9,0,22,0,0,0.0,0,0,0,0,0,0
Sun 9/8,vsCIN,W21-20,1,2,44,44.0,1,44,0,0,0.0,0,0,0,0,0,0
Regular Season Stats,82,110,"1,057",12.9,8,44,4,-5,-1.3,3,0,1,0,-,-,,
