Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sat 1/6,@IND,W23-19,20,26,264,76.9,10.2,2,0,75,2,134.1,88.7,3,20,6.7,0,12
Sun 12/31,vsTEN,W26-3,24,32,213,75.0,6.7,1,0,21,1,102.7,52.4,1,4,4.0,0,4
Sun 12/10,@NYJ,L30-6,10,23,91,43.5,4.0,0,0,26,4,54.8,8.4,0,0,0.0,0,0
Sun 12/3,vsDEN,W22-17,16,27,274,59.3,10.1,1,0,59,5,106.1,18.7,6,11,1.8,0,4
Sun 11/26,vsJAX,L24-21,26,36,304,72.2,8.4,2,0,34,4,116.0,77.2,6,47,7.8,1,16
Sun 11/19,vsARI,W21-16,27,37,336,73.0,9.1,2,3,40,3,85.0,36.9,1,-1,-1.0,0,-1
Sun 11/12,@CIN,W30-27,23,39,356,59.0,9.1,1,1,34,1,87.1,71.0,2,8,4.0,1,8
Sun 11/5,vsTB,W39-37,30,42,470,71.4,11.2,5,0,75,3,147.8,79.6,0,10,0.0,0,10
Sun 10/29,@CAR,L15-13,16,24,140,66.7,5.8,0,0,31,2,81.9,71.1,2,13,6.5,1,12
Sun 10/15,vsNO,W20-13,13,27,199,48.2,7.4,2,1,34,2,82.2,40.4,3,2,0.7,0,2
Sun 10/8,@ATL,L21-19,20,35,249,57.1,7.1,1,0,29,0,88.9,57.4,1,2,2.0,0,2
Sun 10/1,vsPIT,W30-6,16,30,306,53.3,10.2,2,0,52,0,111.2,74.7,4,16,4.0,0,11
Sun 9/24,@JAX,W37-17,20,30,280,66.7,9.3,2,0,68,0,118.8,86.0,3,14,4.7,0,11
Sun 9/17,vsIND,L31-20,30,47,384,63.8,8.2,2,0,32,6,103.5,49.6,3,1,0.3,0,2
Sun 9/10,@BAL,L25-9,28,44,242,63.6,5.5,0,0,26,5,78.0,32.7,4,20,5.0,0,11
Regular Season Stats,319,499,"4,108",63.9,8.2,23,5,75,38,100.8,58.3,39,167,4.3,3,16,,
