Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 12/12,@CLE,L24-22,4,4,17,100.0,4.3,0,0,11,1,84.4,9.3,2,5,2.5,0,4
Sun 12/5,@PIT,L20-19,23,37,253,62.2,6.8,1,1,29,7,80.1,55.4,8,55,6.9,0,13
Sun 11/28,vsCLE,W16-10,20,32,165,62.5,5.2,1,4,39,2,46.5,33.6,17,68,4.0,0,13
Thu 11/11,@MIA,L22-10,26,43,238,60.5,5.5,1,1,30,4,73.6,48.9,9,39,4.3,0,11
Sun 11/7,vsMIN,W34-31 OT,27,41,266,65.9,6.5,3,2,22,3,88.1,52.5,21,120,5.7,0,12
Sun 10/24,vsCIN,L41-17,15,31,257,48.4,8.3,1,0,39,5,87.7,49.8,12,88,7.3,0,16
Sun 10/17,vsLAC,W34-6,19,27,167,70.4,6.2,1,2,21,3,68.0,59.1,8,51,6.4,0,22
Mon 10/11,vsIND,W31-25 OT,37,43,442,86.1,10.3,4,0,43,2,140.5,83.9,14,62,4.4,0,13
Sun 10/3,@DEN,W23-7,22,37,316,59.5,8.5,1,0,49,3,96.2,70.8,7,28,4.0,0,7
Sun 9/26,@DET,W19-17,16,31,287,51.6,9.3,1,1,41,4,81.0,49.2,7,58,8.3,0,31
Sun 9/19,vsKC,W36-35,18,26,239,69.2,9.2,1,2,42,1,78.8,62.3,16,107,6.7,2,21
Mon 9/13,@LV,L33-27 OT,19,30,235,63.3,7.8,1,0,49,3,98.6,57.4,12,86,7.2,0,28
Regular Season Stats,246,382,"2,882",64.4,7.5,16,13,49,38,87.0,56.8,133,767,5.8,2,31,,
