Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 10/6,vsARI,L24-23,19,35,244,54.3,7.0,1,2,53,2,62.1,29.4,4,33,8.3,0,12
Sun 9/29,vsNE,W30-13,15,27,288,55.6,10.7,1,1,53,1,89.7,62.4,5,11,2.2,0,7
Sun 9/22,@LAR,L27-24,22,30,292,73.3,9.7,3,0,34,1,137.1,86.9,10,41,4.1,0,11
Sun 9/15,@MIN,L23-17,28,36,319,77.8,8.9,1,1,28,6,101.3,53.9,2,12,6.0,0,11
Mon 9/9,vsNYJ,W32-19,19,29,231,65.5,8.0,0,0,34,2,89.9,87.1,1,11,11.0,0,11
Regular Season Stats,103,157,"1,374",65.6,8.8,6,4,53,12,95.3,66.0,22,108,4.9,0,12,,
