Date,OPP,Result,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG2,TD2,LNG2
Sun 1/3,@CIN,W38-3,10,18,113,55.6,6.3,3,1,43,0,91.0,87.2,11,97,8.8,0,20
Sun 12/27,vsNYG,W27-13,17,26,183,65.4,7.0,2,0,27,0,111.5,86.6,13,80,6.2,0,20
Sun 12/20,vsJAX,W40-14,17,22,243,77.3,11.0,3,1,44,1,133.1,66.6,10,35,3.5,1,18
Mon 12/14,@CLE,W47-42,11,17,163,64.7,9.6,1,0,44,4,115.6,99.4,9,124,13.8,2,44
Tue 12/8,vsDAL,W34-17,12,17,107,70.6,6.3,2,1,38,0,101.8,77.7,13,94,7.2,1,37
Sun 11/22,vsTEN,L30-24 OT,17,29,186,58.6,6.4,1,1,31,1,74.8,30.6,13,51,3.9,0,14
Sun 11/15,@NE,L23-17,24,34,249,70.6,7.3,2,1,31,2,98.8,59.8,11,55,5.0,0,11
Sun 11/8,@IND,W24-10,19,23,170,82.6,7.4,0,0,21,2,97.5,62.6,13,58,4.5,1,9
Sun 11/1,vsPIT,L28-24,13,28,208,46.4,7.4,2,2,39,4,65.8,10.4,16,65,4.1,0,14
Sun 10/18,@PHI,W30-28,16,27,186,59.3,6.9,1,0,32,3,92.5,83.2,9,108,12.0,1,37
Sun 10/11,vsCIN,W27-3,19,37,180,51.4,4.9,2,1,30,1,71.9,50.5,2,3,1.5,0,7
Sun 10/4,@WSH,W31-17,14,21,193,66.7,9.2,2,1,33,1,107.8,93.9,7,53,7.6,1,50
Mon 9/28,vsKC,L34-20,15,28,97,53.6,3.5,1,0,19,4,73.1,25.6,9,83,9.2,0,30
Sun 9/20,@HOU,W33-16,18,24,204,75.0,8.5,1,0,29,4,113.9,50.3,16,54,3.4,0,14
Sun 9/13,vsCLE,W38-6,20,25,275,80.0,11.0,3,0,47,2,152.1,93.2,7,45,6.4,0,16
Regular Season Stats,242,376,"2,757",64.4,7.3,26,9,47,29,56.3,67.3,159,"1,005",6.3,7,50,,
