Date,OPP,Result,CMP,ATT,YDS,CMP%,TD,INT,LNG,SACK,RTG,QBR,CAR,YDS2,AVG,TD2,LNG2
Fri 11/25,vsBAY,W38-27,12,16,194,75.0,0,0,37,5,176.9,46.2,6,-48,-8.0,1,3
Sat 11/19,@KU,W55-14,12,21,107,57.1,1,0,24,0,115.7,59.0,2,11,5.5,0,7
Sat 11/12,vs4TCU,L17-10,17,39,171,43.6,0,1,25,2,75.3,18.5,5,-15,-3.0,0,3
Sat 11/5,@13KSU,W34-27,18,31,197,58.1,2,0,21,0,132.7,85.9,1,0,0.0,0,0
Sat 10/22,@11OKST,L41-34,19,49,319,38.8,2,3,41,1,94.7,40.6,1,-1,-1.0,0,0
Sat 10/15,vsISU,W24-21,17,26,172,65.4,3,0,26,0,159.0,81.8,2,-13,-6.5,0,3
Sat 10/8,vsOU,W49-0,21,31,289,67.7,4,1,38,0,182.2,93.2,2,17,8.5,0,16
Sat 9/10,vs1ALA,L20-19,9,12,134,75.0,0,0,46,0,168.8,95.9,0,0,0.0,0,0
Sat 9/3,vsULM,W52-10,16,24,225,66.7,2,1,43,1,164.6,71.8,1,-9,-9.0,0,0
Regular Season Stats,141,249,"1,808",56.6,14,6,46,9,131.4,65.6,20,-58,-2.9,1,16,,
